story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt	should_tag	notes
Mifalot-HaZadikim_0026	Mifalot-HaZadikim	embedding	0.966		False		[error] Extra data: line 2 column 1 (char 204)	וא נסתר ובאתי לפניו ואמרתי לו רבי למדיני אורחות חיים וכששמע זאת אז מילא פיו בצחוק והיתול ואמר להעומדים עליו השמעתם איש שוטה הזה קורא לי רבי ורוצה להיות בחברתינו הצריכים אנחנו לשוטים כאלו אז ענו כולם בצחוק והיתול ובאמת לא		
Peer-MiKdoshim_0001	PeerMikdoshim	embedding	0.965		False	high	The story concerns a woman seeking the recovery of money given to a business associate who died; it does not involve a missing husband or marital status.	גביר מ רישא לפניו ויען בקול גדול הוי ואבוי אנכי הוא האיש הזה כי טרם בואי הנה אל הצדיק הקדוש בא אלי איש עני ודפק על פתחי וזרקתי אותי מביתי ונפל מת על סף הבית ועתה גם כל יתר דברי קדשו יחדירו כברק תוך סתר לבבי בידעתי כי גרמ		
Khal-Hasidim_0253	Khal-Hasidim	embedding	0.965		False	high	The story focuses on Rabbi Chaim b. Bezalel's choice to live in secret humility and marry a baker's daughter; there is no mention of an aguna or the process of freeing a chained wife.	"חשה ולא ענהו מאומה ובמשך זמן מועט אמר לו אדוני חבירי אל נא תרבה לדבר אלי עוד בדבר זה כי לא אשנה דברי אשר דברתי כי הומה לבי אל משפחתי כי לא מאבן נולדתי וגם אנכי רוצה לקיים כיבוד אחי הגדול אשר הוא דאורייתא וע""כ אל תתרעם על"		
Adat-Zadikim_0023	Adat-Zadikim	embedding	0.965		False	high	The story describes a scholar entering into a secret marriage with a simple baker's daughter to maintain humility; it has nothing to do with a missing husband or a woman trapped in marriage (agunah).	"ו ויביט עליו ויכירהו ויצוה תיכף להתירו ויקחהו בידו בידי במהרה לחררו ויפול על צוארו ויבך מאוד וכהתימו לבכות נשא עיניו והנה הר""ח מצחק ויאמר לו רבינו שלשה דברים אשאלך מאין באת לבית האופה ומה חטאך אשר הגידו עליך ומה אתה מצחק"		
Mifalot-HaZadikim_0027	Mifalot-HaZadikim	embedding	0.964		False	high	The story depicts a spiritual correction (tikkun) for the Baal Shem Tov regarding his past treatment of an orphan servant, not the legal or spiritual release of a chained wife (aguna).	 להרוג אותם הוא רוצה והנה בתוך כך נפתחה דלת אחת מן החדרים המוסגרים החרבים ויצא משם אשם אחת עשירה ומקושטת ויגש לפני רום פני הבעש״ט זי״ע ואמר לו רבי אני מבקש מכם לשבות אצלי בשבת קודש ענה הבעש״ט ואמר שתי פליאות לי אחת האיך 		
Khal-Hasidim_0017	Khal-Hasidim	embedding	0.964		False	high	The story is about reincarnation (gilgul) and spiritual rectification (tikun), involving a scholar discovering his past life as a sinner; it has no mention of agunot or missing husbands.	"ספרו לו גנות ורעות האיש אשר שואל עליו כי היה רשע שאין דומה לו ר""ל : וישא הת""ח ההוא את רגליו וישב לביתו בפחי נפש בלי שום תשוע' כי אם ברפיון כח מרוב הדרך והיגונות אשר מצאתהו עדי בואו לביתו העיר הגדולה אשר שם היה הבעש""ט זלל"		
Khal-Kdoshim_0011	Khal-Kdoshim	embedding	0.963		False	high	The story focuses on the ascetic piety and grammatical precision in prayer of R' Ezra, with no mention of agunot or the practice of releasing chained wives.	יינם ואז נתבטל תמיד של הקיבוץ בכלל : ומעולם לא ישב לסעוד עד שהכני' עמו עני א׳ להיות סועד עמו : ולא ברך לעול' בלי זימון ועל הכוס דווקא : ומעולם לא הסתכל בצורתא ד זוזי ולא הכיר שום מטבע : ועד שנעשה נשוי הי׳ מתפרנס על ידי א		
Khal-Hasidim_0173	Khal-Hasidim	embedding	0.963		False	high	The story concerns a halakhic question about whether a wife is permitted to her husband (a Cohen) after being rescued by a stranger, not a missing husband or a chained wife situation.	ל אשר עשה עד כה וכאשר נתייגע בזה מעט אז כמו נד נצבו לפניו כל העבירות שעשה מעודו. ויתמהמה מאוד ויעמוד הרבה ולא היה יכול לומר סלח לנו. עד כי נתחרט מאוד על כל מה שעשה וקבל עליו לעזוב חטאיו על להבא ועתה ישוב לביתו תיכף ולא י		
Shivhei-Habesht_0005B	Shivhei-Habesht	embedding	0.962		False	high	The story describes an exorcism of a spirit from a woman and the Besht's revelation, but does not involve freeing a woman whose husband is missing or status is unknown (aguna).	"כא""וא כפי מעלתו ו הבעש״ט נכנס באחרונה וכשראתה אותו ואמרה ב""ה ר׳ ישראל כ' עדיין רך בשנים אמרה לו אתה סבור שאני מפחד ממך לא כי אני ידעתי שהזהירו אותך מן השמי' שלא לעסוק בשמות הקדושים עד שישתלמו לך ששה ושלשים שנה והוא הי׳ נ"		
Khal-Hasidim_0102	Khal-Hasidim	embedding	0.962		False	high	The story focuses on a merchant's miraculous encounter with Jonah the prophet and his son's spiritual transformation, without any mention of freeing an aguna.	"ימים שלח השר בעצמו אחריו ונתן לו האורנדע כדבר הבעש״ט והי' סבור אולי השר נצרך כהיום למעות מאד והציקתו לעבור ע""ד ובתוך שנה ילדה אשתו ב""ז אבל לא עלה ע""ד להודיע ל הבעש״ט כי אמר מקרה הוא ויגדל הילד הלוך וגדול ונעשה פרא אדם ממ"		
Mifalot-HaZadikim_0006	Mifalot-HaZadikim	embedding	0.962		False	high	The story is about hospitality (hachnasat orchim) and the life of a son born from a blessing; it contains no mention of an aguna or the practice of releasing one.	 ועתה טוב לי מאז כי הוא הכה אותי תמיד ועתה כשהוא מת ואמי ג״כ מתה וביתו נשרף והונו ורכושו נאבד טוב לי מאוד כי יכול אני לילך בשרירות לבי ואין מוחה בידי ונתחברתי אל העניים המסבבים וסבותי גם אני עליהם לשקוד על פתחי נדיבים לב		
Khal-Hasidim_0009	Khal-Hasidim	embedding	0.962		False	high	The story depicts an exorcism of a possessed woman and a family conflict regarding divorce, but it does not involve the legal release of an agunah (a woman whose husband is missing).	"עדיין רך בשנים אמרה לו אתה סבור שאני מפחד ממך לא כי אני ידעתי שהזהירו אותך מן השמים שלא לעסוק בשמות הקדושים עד שישתלמו לך שלש ושלשים שנה והוא היה נחב׳ אל הכלים והאנשים הנ""ל שאלו אותה מה אתה אומרת והיא כפלה בדבריה לפניהם "		
Khal-Hasidim_0001	Khal-Hasidim	embedding	0.962		False	high	The story describes a husband returning to his wife after years of captivity; however, it does not depict the specific religious or social practice of acting to free an aguna (chained wife) through halakhic or mystical intervention.	"רך ישר שהוא מבוא העיר אשר אנשי העיר הולכים ושבים בה ויורהו הסימנים ויעשו כן והצליח המלך ותפס את החזקת הנ״ל ע״כ] ויגדלהו המלך להרב הנ""ל ויעשהו לשר צבא מלחמתו כי ראה בעינא פקיחא כי ה׳ אתו וכל אשר הוא עושה מצליח ובכ״מ אשר ש"		
Sipurei-Zadikim_0007	Sipurei-Zadikim	lexical	0.96	עגונה	True	high	Releasing an aguna (התיר אותה / מכבלי העיגון).	 נחת רוח כי היה לו ריב עם הרבנים אשר בסביבה ההיא על דבר עסק עגונה אחת אשר הוא התיר אותה והמה אסרוה והדין היה עמו כאשר הראה בראיות ברורות והמערערים שלחו השאלות ותשובות להרבנים ממכירם ועל כן פסקו כי הדין עמם ועוד כמה מעשיו		
Peer-MiKdoshim_0009	PeerMikdoshim	lexical	0.96	עיגון	True	high	Releasing an aguna (התיר אותה / מכבלי העיגון).	היא המצוה הכבודה הלז להתיר אותך מיגון ואת בתך יחידתך מכבלי העיגון. אולם פאת הנחוץ לפני לקחת מכתבי עוז ומליצות מכל רבני ארץ גאוני הזמן אשר יתמכוני בכל מקום מדרך כף רגלי לעמוד לי לעזר למצא את חותנך : או כי אמצאהו להפיל עלי		
Shivhei-Habesht_0098	Shivhei-Habesht	lexical	0.931	עגונה	False	medium	An aguna is mentioned but the story is about exposing her adultery, not releasing her.	"רבי אהרן דקהלתינו ששמע מהרב הגאון דק""ק סיפטיפקע שהי' בסביבם עגונה אחת שהיתה מחזקת ארענדי' וראה הבעש״ט שפ""א הית' מנאפת עם עבד כנעני שלה והי' לה שני אחי' בשני כפרי' ונתגלה הדבר לאחים והיה להם בושה וסברו שתצא ח""ו מן הכלל וי"		
