story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt	should_tag	notes
Mifalot-HaZadikim_0021	Mifalot-HaZadikim	embedding+lexical	0.96	יין	False	low	Wine as merchandise / yayin nesech concern, not a drinking scene.	 לרבו הנ״ל מ מעזיבוז . והגם שהיה דבר זה סכנה שיפסוד ח״ו כל היין הן אפשר שיכחישו לו הערלים ויאמרו להד״ם או לפחות יפסיד אותו מחמת ניסוך ואעפ״כ לא השגיח ע״ז כלל ויהי כאשר בא להרב הקדוש ותיכף שאל אותו הרב עבור מסחרו ויספר לו		
Mifalot-HaZadikim_0026	Mifalot-HaZadikim	embedding+lexical	0.958	יין	False		[error] Unterminated string starting at: line 4 column 16 (char 61)	ין כאן רק איש אחד ששמו משה שטשאגיל אבל אינו איש קדוש רק לץ היין הומה שכר בטלן וכמה מדות רעות יש בו ומרוב גודל אמונתי באדמו״ר הקדוש הרהרתי כי זה הוא האיש משה והתחלתי לדרוש עבורו ואיה מקום כבודו והראהו לי אותו עומד בחוצות 		
Khal-Hasidim_0012	Khal-Hasidim	embedding+lexical	0.958	יין כוס שתו	True	high	The story explicitly describes the Baal Shem Tov performing Kiddush on wine and drinking the first two cups of the Passover Seder.	"ד עד כי בערב פסח ממש לא הי' לו אפי' פרוסת מצה למצוה ולא כוס יין לבד חדרו אשר שכר לו לבתו עם ר""צ ז""ל. וכאשר לחצה אותו בתו כל היום מה יהי' לימי הפסח מה נאכל בו. ענה לה הש״י יזמין לנו, והוא ישב כל היום ער""פ בביהמ""ד ויהי לפנ"		
Khal-Hasidim_0158	Khal-Hasidim	embedding+lexical	0.956	יין	False	high	The text mentions 'shikuyo' (his drinks) within a biblical-style list of general sustenance, but there is no scene depicting the consumption of alcohol.	" הי׳ לו על האדמה בחייו בכדי אשר לא יענש אחיו על ידו. ויצא הדיין מב""ד ש״מ או לקיים על העשיר האכזר הפסק דין כאשר פסקו עליו כנ""ל או שניהם יבואו בגלגול והעני הצדיק הזה היה מדוכא ביסורים ויהיה עני. והרשע אחיו הזה יהיה עשיר וא"		
Khal-Hasidim_0004	Khal-Hasidim	embedding+lexical	0.956	שתו	False		[error] Unterminated string starting at: line 1 column 55 (char 54)	"יה לו ג""כ בגדי לבן לשבת והי' לו ג״כ בית המרחץ ובית הטבילה ואשתו הי׳ עסוקה בפרנסה וה׳ שלח ברכה והצלחה במעשה ידיה. והיו מכניסים אורחים לאכול ולהשקותם בכבוד גדול וכשבא איזה אורח אזי היא הוא שולחת אחריו והוא בא ומשמש לפניהם "		
Khal-Hasidim_0173	Khal-Hasidim	embedding+lexical	0.956	שתו	False	high	The text explicitly states that while the guards suspected the man of being drunk, they did not actually see him drink anything.	ינם וישפוטו אולי שכור הוא ומשתטה ביינו. אבל הם לא ראו אותו לשתות היום ההוא. ולא ידעו מה לדון בזה וישאלו אותו ולא ענם. וימתינו עד בוש עד כי סיים תפילתו. והי' נראה על פניו יגון מאוד. ויאמרו אליו הנכרים מה הי' לך היום כי הא		
Khal-Hasidim_0202	Khal-Hasidim	embedding+lexical	0.956	יין שתה כוס שתו	True	high	The story describes providing wine for the Passover Seder and explicitly mentions the scene during the meal after the ritual drinking of the first two cups of wine.	"ר שם למד הרב הצדיק הגאון המפורסים מוהר״ר פנחס ז""ל ואז היה עדיין טרם התגלות הרב הקדוש הנ""ל אמנם החסיד הנ""ל היה בר שכל וכאשר ראה התנהגות הרב מוהר""פ ז""ל הבין כי איש אלקים נורא הוא בעל מדרגה גדולה והיה מתחקה על שרשי התנהגות "		
Adat-Zadikim_0003	Adat-Zadikim	embedding+lexical	0.955	יין כוס שתו	True	high	The story explicitly describes the Baal Shem Tov making Kiddush on 'fine wine' and drinking the first two cups of the Passover Seder.	"ד עד כי בערב פסח ממש לא הי' לו אפי' פרוסת מצה למצוה ולא כוס יין לבד חדרו אשר שכר לו ולבתו עם ר""צ ז""ל. וכאשר לחצה אותו בתו כל היום מה יהי' לימי הפסח מה נאכל בו. ענה לה השי״ת יזמין לנו. והוא ישב כל היום עה״פ בביהמ""ד ויהי ל"		
Mifalot-HaZadikim_0006	Mifalot-HaZadikim	embedding+lexical	0.955	יין שתה שתו	True	high	The text explicitly describes a scene at a hospitable inn where guests are eating and drinking 'much royal wine' (יין מלכות רב).	נות במצעות נאות ועליהם מסודרי׳ כל מיני מטעמים ומשקאות רבות ויין מלכות רב. וב״א יושבים ואוכלים ושותים ושמחים וטובי לב. וגם בפנינו סידר הזקן בעצמו את השלחן עם מעדנים ומאכלי׳ לכלי כסף וכלי זהב הרבה מאוד : ואכלנו ושתינו כיד 		
Maase-Zadikim_0016	maase-zadikim	embedding+lexical	0.955	יין שתה כוס שתו	True	high	The story depicts the preparation and consumption of the four cups of wine during a Passover Seder scene with Rabbi Pinchas of Koritz.	"ר שם למד הרב הצדיק הגאון המפורסים מוה""רר פנחס ז""ל ואז היה עדיין טרם התגלות הרב הקדוש הנ""ל אמנם החסיד הנ""ל היה בר שכל וכאשר ראה התנהגות הרב מהר""פ ז״ל הבין כי איש אלקים נורא הוא בעל מדרגה גדולה והיה מתחקה על שרשי התנהגות ה"		
