story_id	tag	sonnet_confidence	sonnet_reasoning
Khal-Hasidim_0173	supernatural:prognostication	high	The rabbi performs a she'elat chalom (dream inquiry) and receives a heavenly revelation disclosing hidden past events and divine judgment — a direct instance of supernatural prognostication.
Shivhei-Habesht_0194	times:holidays	medium	The story is explicitly set during the third Sabbath meal (סעודה ג׳ / Seudah Shlishit), placing the action within Shabbat, which is a recurring holy day; however, Shabbat is often distinguished from festivals (Yom Tov) in Jewish taxonomy, so the fit depends on whether the 'holidays' tag covers Shabbat or only pilgrimage festivals and High Holy Days.
Sipurei-Zadikim_0005	times:death	high	The death of one of R' Meir's sons is explicitly stated ('בנך אחד כבר מת') and serves as a central plot driver, making death a direct and significant element of the story.
Sipurei-Zadikim_0006	ethics-and-emotions:anger	high	The story explicitly depicts anger: 'ויחרה להחסידים' (the Hasidim were angered) when the foster son mocks R' Baruch and R' Efraim, and the rabbi's own wrathful response — permanently banishing the young man — is framed through the maxim about a scholar who takes revenge 'like a snake' in matters of heaven.
Sipurei-Zadikim_0006	ethics-and-emotions:fear	medium	When the young man sees he has been replaced at the prayer lectern, the text explicitly states 'נפלה לבבו מקרבו' (his heart fell within him) — a conventional Hebrew expression of dread/fear — as he grasps the gravity of his punishment, making fear a genuinely depicted emotion rather than an incidental one.
Sipurei-Zadikim_0006	ethics-and-emotions:pride	high	The story centrally depicts the adopted son's pride (גאווה/לעג) in mocking the famous rebbes R' Baruch and R' Efraim, which directly causes the Rebbe R' Leib to sever their relationship — pride is the explicit moral failing driving the entire narrative.
Sipurei-Zadikim_0006	ethics-and-emotions:repentance	medium	The young man explicitly attempts repentance — prostrating himself, weeping, and offering to go appease those he mocked — but the rabbi rejects it, making repentance a real narrative element even though it is thwarted rather than achieved.
Sipurei-Zadikim_0006	ethics-and-emotions:shame	high	The young man's heart sinks when he is publicly demoted from leading prayers, and he then throws himself weeping at the rabbi's feet begging forgiveness — shame is the central emotional experience driving the story's climax.
Sipurei-Zadikim_0006	ethics-and-emotions:virtues	high	The story centrally depicts multiple virtues in action: R' Leib's compassion in raising an orphan as a son, his zealous honor for Torah scholars, and his principled integrity in severing ties with someone who mocked the holy—explicitly invoking the rabbinic virtue that a scholar must not overlook desecration of heaven.
Sipurei-Zadikim_0006	folkloristics:story_type_virtues	high	The story's central moral is explicitly built around a virtue — honoring Torah scholars and holy tzadikim — and dramatizes Rabbi Leib's exemplary enforcement of that virtue by severing ties with his beloved foster son for mocking R' Baruch and R' Ephraim, making virtue the structural core of the narrative.
Sipurei-Zadikim_0006	knowledge:esoteric	high	The rabbi explicitly invokes the Zohar and Sefirot ('מעולפים ספירי'') and the kabbalistic phrase 'תרי צנתרי דדהבא' to validate the holy status of Baruch and Ephraim, making esoteric knowledge central to the story's moral judgment.
Sipurei-Zadikim_0006	social:disobedience	high	The story centrally depicts the ward's act of mocking/disrespecting the holy rabbis R' Baruch and R' Ephraim, which R' Leib explicitly treats as a serious transgression warranting his public rejection of the young man as his son.
Sipurei-Zadikim_0006	supernatural:light_or_fire_as_a_sign_of_righteousness	high	The story explicitly reports that a supernatural light began to emanate from R' Baruch and R' Ephraim (grandchildren of the Besht), described as 'תרי צנתרי דדהבא' (two golden pipes/channels of light), marking their righteousness — and the young man's mockery of this sign is precisely what triggers his expulsion by R' Leib.
Sipurei-Zadikim_0006	times:holidays	high	The story explicitly takes place on Rosh Hashanah (ראש השנה), describing events during the first day of the holiday including the Tashlich ceremony and prayer services.
Sipurei-Zadikim_0008	ethics-and-emotions:humility	high	The story explicitly depicts the Saba Kadisha's humility through multiple concrete behaviors: refusing to live in wealth despite fame and gifts (distributing them to the poor), hiding alone before the shofar blowing, prostrating himself fully on the ground in private prayer, and playing with small children — all presented as hallmarks of his holy conduct.
Sipurei-Zadikim_0008	ethics-and-emotions:virtues	high	The story centrally depicts the Saba Kadisha's virtues — humility, generosity (giving gifts to the poor), contentment with little, steadfastness, and devout prayer — making virtue the explicit subject of the narrative.
Sipurei-Zadikim_0008	folkloristics:story_type_virtues	high	The text is explicitly structured around presenting the tzadik's holy conduct (הנהגותיו הקדושים), cataloguing virtues such as humility, contentment with little, firmness of conviction, intercession for Israel, turning curses to blessings, and devotion in prayer and dance — making the depiction of virtues the primary organizing principle of the narrative.
Sipurei-Zadikim_0008	social:inter_hasidic	high	The story explicitly depicts a visit by another tzaddik to the Saba Kadisha, with interaction between them and the visiting tzaddik's disciples questioning him about the master's mystical intentions — a clear inter-Hasidic social encounter.
Sipurei-Zadikim_0008	social:inter_hasidic_master_disciple_relationship	high	The story explicitly depicts a visiting tzaddik (another Hasidic master) coming to the Saba Kadisha, and that tzaddik's disciples/attendants asking their master to interpret the Saba's actions — a clear inter-Hasidic master-disciple dynamic.
Sipurei-Zadikim_0008	supernatural:perception	high	A visiting tzaddik supernaturally perceives the hidden spiritual reality behind the Saba's nut-playing with children — correctly discerning that he is performing mystical rain-yichudim — a clear instance of one holy figure perceiving what ordinary observers cannot.
Sipurei-Zadikim_0009	ethics-and-emotions:awe	high	Rabbi Shalom repeatedly stops mid-dance, stands up to look with wide-open eyes ('עינא פקיחא'), and exclaims in wonder at the Saba Kadisha's sanctified movements — a clear, sustained depiction of reverential awe at witnessing holiness.
Sipurei-Zadikim_0009	folkloristics:story_type_virtues	high	The story's entire purpose is to testify to the extraordinary spiritual virtues of the Saba Kadisha — his dancing is presented as an act of supreme sanctity, with Rabbi Shalom bearing witness that the elder had purified his limbs so completely that each step achieved mystical unifications (yichudim), a classic hagiographic 'virtues of the tzaddik' narrative.
Sipurei-Zadikim_0009	supernatural:perception	high	The story explicitly depicts R. Shalom ben HaMalakh perceiving with a 'watchful eye' (עינא פקיחא) the Saba Kadisha's dancing and discerning the holy unifications (יחודים) in each step — a supernatural mode of spiritual perception beyond ordinary sight.
Sipurei-Zadikim_0010	social:marriage	high	The story centrally depicts the plight of an agunah (a woman abandoned by her husband) who cannot remarry, the husband's eventual return, and their reunion — marriage and its legal/social bonds are the core subject matter.
Sipurei-Zadikim_0011	characters-and-roles:preacher	high	Rabbi Israel explicitly identifies himself as 'דרשן אנכי' (I am a preacher/darshan) when asked his identity at the inn, directly depicting the preacher role as part of the narrative.
Sipurei-Zadikim_0011	ethics-and-emotions:humility	high	Humility is a central, recurring motif: R' Ezriel conceals his spiritual greatness by feigning sleep; R' Israel hides under the oven and presents himself merely as a tailor's son who 'did not fully learn his craft'; both the father and R' Ezriel are explicitly praised as 'צנוע במעשיו' (modest in deeds); and R' Israel's year of wandering in beggar's clothes enacts the Hasidic ideal of self-concealment/humility.
Sipurei-Zadikim_0011	ethics-and-emotions:lying	high	The story contains two clear acts of deliberate deception: Rabbi Israel misleads the melamed by calling the Maharsha (a halachic commentary) a 'book of mussar,' and later lies to Rabbi Chaykil about his identity, falsely claiming to be an ignorant tailor's son wandering to learn his trade.
Sipurei-Zadikim_0011	ethics-and-emotions:virtues	high	The story centrally depicts multiple virtues in its protagonists — the tailor's faithfulness (באמונה), R' Azriel's and R' Israel's modesty (צנוע), sincere piety, self-sacrifice in pursuit of Torah lishmah, and humility — making virtuous character the explicit moral lesson (מוסר השכל) the narrator announces at the outset.
Sipurei-Zadikim_0011	experience:devekut	medium	The story explicitly depicts R' Yisrael as 'תפוס בעמק מצולי רעיוניו הקדושים תמיד' (constantly absorbed in the depths of his holy thoughts) throughout the journey, a clear portrayal of sustained devekut-like spiritual absorption, though it is a descriptive detail rather than the story's central theme.
Sipurei-Zadikim_0011	experience:enthusiasm	high	The story is centrally driven by fervent enthusiasm: R' Israel and R' Azriel's zealous two-year quest, their passionate mission to recruit others to the Maggid of Mezeritch, R' Azriel's emotionally stirring prayer that moves all listeners, R' Isser's ecstatic abandonment of everything to walk on foot to Mezeritch, and the repeated depictions of communal excitement (התפעלות) and longing (געגועים) for Hasidic spiritual connection.
Sipurei-Zadikim_0011	social:marriage	medium	The story explicitly depicts Israel being taken as a son-in-law (חתן) by a wealthy villager who builds him a home, and his father-in-law (חותנו) appears as a named character — marriage is a concrete narrative element establishing the protagonist's situation, though the story's focus is spiritual seeking rather than the marriage itself.
Sipurei-Zadikim_0011	social:retrospective_recognition	high	The story centrally depicts retrospective recognition: the melamed and householder who laughed at R' Israel and dismissed him as a mere travelling preacher only come to recognize his true spiritual stature after R' Isser reveals he is a disciple of the great Maggid of Mezeritch, prompting them to reverse their assessment and travel to Mezeritch themselves.
Sipurei-Zadikim_0013	ethics-and-emotions:humility	high	The story's central figure is a 'hidden tzaddik' tailor who deliberately conceals his spiritual greatness, lives as an unknown poor man, and deflects the community leaders by feigning ignorance — humility is the defining, plot-driving trait of the protagonist.
Sipurei-Zadikim_0013	ethics-and-emotions:joy	high	The story explicitly depicts communal joy at multiple points: the leaders rejoice upon hearing the tailor's recommendation (וישמחו), the community receives the new rabbi 'with great joy and great honor' (בשמחה רבה ובכבוד גדול), and the Shabbat gathering culminates in eating, drinking, and rejoicing (ואכלו ושתו ושמחו).
Sipurei-Zadikim_0013	ethics-and-emotions:pride	medium	The rabbi of Ostraha explicitly acknowledges his own arrogance toward the tailor-messenger, saying he was 'bold/impudent toward him' (העזתי פני נגדו) precisely because the tailor was not a rabbi or recognized scholar — a concrete depiction of pride based on social/scholarly status, though it is not the story's central theme.
Sipurei-Zadikim_0013	ethics-and-emotions:sadness	high	The rabbi of Ostraha explicitly tears his garments and weeps bitterly ('ויבך במר נפש מאד מאד') upon hearing of the hidden tzaddik-tailor's death, a direct and central depiction of grief/sadness.
