story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt	should_tag	notes
Mifalot-HaZadikim_0021	Mifalot-HaZadikim	embedding	0.963		True	high	The story describes Rabbi Abraham of Khmilnyk traveling to and staying with his relative, Rabbi Baruch of Medzhybizh, for Shabbat.	ררותו בתשובה נכונה ויעזוב את העגלות עם היי״ג הנ״ל ביד ערלים הנ״ל המובילים אותו וינס ויצא לרבו הנ״ל מ מעזיבוז . והגם שהיה דבר זה סכנה שיפסוד ח״ו כל היין הן אפשר שיכחישו לו הערלים ויאמרו להד״ם או לפחות יפסיד אותו מחמת ניסו		
Mifalot-HaZadikim_0026	Mifalot-HaZadikim	embedding	0.96		False	high	The story depicts a disciple traveling to find a hidden tzaddik and later visiting the Ruzhiner Rebbe, but does not feature one established tzaddik traveling to visit another.	וא נסתר ובאתי לפניו ואמרתי לו רבי למדיני אורחות חיים וכששמע זאת אז מילא פיו בצחוק והיתול ואמר להעומדים עליו השמעתם איש שוטה הזה קורא לי רבי ורוצה להיות בחברתינו הצריכים אנחנו לשוטים כאלו אז ענו כולם בצחוק והיתול ובאמת לא		
Khal-Hasidim_0239	Khal-Hasidim	embedding	0.959		False	high	The story depicts a Hasid and a skeptical wealthy man traveling to visit the Seer of Lublin, not a visit between two tzaddikim.	ששמעת בעצמך נאצות וגידופים על הרבי ואנכי לעצתך אקשיב ועלה אתי בעגלתי ותחזה כי לא אמצו תודתי והיה בבואינו העירה נלכה שנינו יחד אחוזי יד אל הרבי ותראה כי רבי אך מכבד עשירים ולא ידע את העני אתו בבית יהיה אף אחד חסיד קדוש וט		
Sipurei-Zadikim_0005	Sipurei-Zadikim	embedding	0.958		False		[error] Unterminated string starting at: line 4 column 16 (char 61)	" תהיה אי""ה עשיר גדול ועתה הגדתי לך האמת אם תשמע ואם תחדל אבל האיש הנ""ל היה קשה עליו פרידתו מהכתבים כי היו אהובים ויקרים אצלו כבבת עינו ממש. והיה מדמה בנפשו אם ינטלו הכתבים ממנו כאילו ניטל חייו. וילך האיש במר נפשו לחזרה ל"		
Khal-Hasidim_0202	Khal-Hasidim	embedding	0.958		False	high	The story depicts a follower (chassid) traveling to visit a second tzaddik (Rabbi Pinchas of Koritz) after being rebuffed by his first tzaddik, but it does not feature a tzaddik visiting another tzaddik.	 הקדוש הסבא קדישא כי יתפלל בעדו להשם ית' שיושיעהו בפרי בטן והצדיק הנזכר היה מדחה אותו בלך ושוב בכל יום פעם אמר לו כ כי יעשה סעודת מרעים להחסידים והמה יברכו אותו אולי יעלה בידם וכן עשה ולא הועילו לו מאומה ובכל פעם בואו לר		
Peer-MiKdoshim_0007	PeerMikdoshim	embedding	0.958		False	high	The story depicts a Hasid and a skeptical rich man traveling to visit the Seer of Lublin, but does not involve one tzaddik visiting another.	תו רעות רוח. והחסיד לאשר בטח עד מאוד בתועפות רוח קדשו של רבו הצדיק התערב עמדו בדבר הזה ויעלה אתו בהעגלה לנסוע יחד ויוסף הנגיד הנזכר להגיד אל החסיד עוד לבבי יהגה אימה. אולי בערמה תתנכל עלי להמאיסני כי לרוב התקרבותך אליו ת		
Maase-Zadikim_0014	maase-zadikim	embedding	0.958		True	high	The story explicitly describes the Chozeh of Lublin traveling to visit Rabbi Elimelech of Lizhensk.	"ה אש מתלקחת ר""ל. והאיש הזה אשר באת עמו כל עבודתו משרש הטמא הזה מעורב הכל ברע ואין בכל עבודתו יראת שמים כל עיקר כי אם אש זרה אשר ממקומות לא טהור יבואו. וכשמוע הרה״ק מ לובלין דברים אלה בראותו גדולת קדושת הרה״ק מ לוזענסק אש"		
Adat-Zadikim_0023	Adat-Zadikim	embedding	0.957		False		[error] Unterminated string starting at: line 4 column 16 (char 60)	" וגם בעת ההתקשרות היו רק שלשתם ולא ידע שום אדם מזה ויצוה הר""ח שילכו לביתם ויחכו עד עת מועד אחרי ביאת רבינו מדרכו ויראה איך יפול דבר : ויהי כבוא רבינו מדרכו וישאל לשלום חבירו וינשק לו ויראה אס את פניו זועפות ויאמר לו ידיד"		
Maase-Zadikim_0016	maase-zadikim	embedding	0.957		False	high	The story depicts a Chassid traveling to visit two different Tzaddikim, but it does not contain a depiction of one Tzaddik traveling to visit another.	ן להעמיק בשום דבר אך הקדוש רבו הי' מתחנן לפניו הניחה לי כי אחריתך תהיה מרה חלילה. והחסיד היה מתעקש בדבר מבטחונו בטוב לב של רבו הקדוש כי לא תהי' לו שום רע על ידו. ויחר הדבר מאוד להצדיק ויאמר הנני נשבע לך כי לא תהיה לך עוד		
Mifalot-HaZadikim_0027	Mifalot-HaZadikim	embedding	0.957		False	high	The Baal Shem Tov did not set out to visit another tzaddik; he was traveling generally and encountered the hidden tzaddik only after getting lost in the forest.	 להרוג אותם הוא רוצה והנה בתוך כך נפתחה דלת אחת מן החדרים המוסגרים החרבים ויצא משם אשם אחת עשירה ומקושטת ויגש לפני רום פני הבעש״ט זי״ע ואמר לו רבי אני מבקש מכם לשבות אצלי בשבת קודש ענה הבעש״ט ואמר שתי פליאות לי אחת האיך 		
Khal-Hasidim_0215	Khal-Hasidim	embedding	0.957		True	high	The story describes the Seer of Lublin traveling to visit Rabbi Elimelech of Lizhensk, which is the primary setting for the narrative's events.	"ב לשם יש קליפת אש מתלקחת ר""ל. והאיש הזה אשר באת עמו כל עבודתו עבידתו משרש הטמא הזה מעורב מעירב הכל ברע ואין בכל עבודתו עבודתי יראת שמים כל עיקר כי אם אש זרה אשר ממקומות לא טהור יבואו : וכשמוע הרה""ק מ לובלין דברים אלה ברא"		
Maase-Zadikim_0015	maase-zadikim	embedding	0.956		False	high	The story depicts a student (chassid) traveling from and returning to his rabbi, but does not feature one tzaddik visiting another.	"מרא וכדומה ולא ידעו מאומה ויסכים האברך החסיד בדעתו ללמוד עמהם חומש עם פירש“י ומעט מדיני ש""ע וספרי יראים למען השרש בלבם יראת ד' והיה לומד עמם בכל יום ספר ראשית חכמה הקדוש בהתלהבות גדול. וירא הבעל הבית אשר הוא עושה באמונה "		
Mifalot-HaZadikim_0045	Mifalot-HaZadikim	embedding	0.956		False	high	The story describes a scholar/student visiting Rabbi Elimelech of Lizhensk, rather than a recognized Tzaddik visiting a peer.	רב ר׳ אלימלך ונתן שלום לחותנו הכפרי הנ״ל ולחתנו לא נתן לו שלום ופנה עורף כנגדו רק שאל לו תיכף בזה״ל אברך (בל״א יונגר מאן) מה יאמר ד׳ ונזדעזע החתן הנ״ל ברוב פחד ובהלה. ותסמר שערת בשרו כי לא ידע מה להשיב לו וגם לא הבין פי׳		
