rank	risk	tier	reason	name_heb	name_rom	occurrences	match_method	confidence	kima_id	kima_name_rom	kima_url	decision	correct_kima_id	notes
1	HIGH	grade_a	common-word / name homograph — text likely means the word, not the town	גליל		17	name_exact	0.95	1475	Galilee (Israel)	https://data.geo-kima.org/Places/Details/1475			
2	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	לאדי		11	fuzzy	0.95	21831	Lyady (Belarus)	https://data.geo-kima.org/Places/Details/21831			
3	HIGH	grade_a	common-word / name homograph — text likely means the word, not the town	יהודה		7	name_exact	0.95	5350	Judea (Region) (Israel)	https://data.geo-kima.org/Places/Details/5350			
4	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	אקופ	Okopy	7	fuzzy	1.0	78338	Okopy (Ukraine)	https://data.geo-kima.org/Places/Details/78338			
5	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	קוצי		6	fuzzy	0.95	14064	Coucy-le-Château-Auffrique (France)	https://data.geo-kima.org/Places/Details/14064			
6	HIGH	grade_a	common-word / name homograph — text likely means the word, not the town	חרן		3	name_exact	0.95	17893	Harran (Turkey)	https://data.geo-kima.org/Places/Details/17893			
7	HIGH	grade_a	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	לאדז		3	name_exact	0.95	179	Łódź (Poland)	https://data.geo-kima.org/Places/Details/179			
8	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	שעפס		3	fuzzy	0.95	16554	Sierpc (Poland : Powiat)	https://data.geo-kima.org/Places/Details/16554			
9	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	טאסט		3	fuzzy	0.95	23166	Toczek (Poland)	https://data.geo-kima.org/Places/Details/23166			
10	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	פלעם		3	fuzzy	1.0	77838	Falamya (West Bank)	https://data.geo-kima.org/Places/Details/77838			
11	HIGH	grade_a	very short Hebrew spelling (3 letters) — homograph / wrong-town risk	אור		2	name_exact	0.95	2334	Ur (Extinct city)	https://data.geo-kima.org/Places/Details/2334			
12	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	וינא		2	fuzzy	0.95	945	Vienna (Austria)	https://data.geo-kima.org/Places/Details/945			
13	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	פאנו		2	fuzzy	0.95	9794	Fano (Italy)	https://data.geo-kima.org/Places/Details/9794			
14	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	עמון		2	fuzzy	0.95	22019	Ammon (Kingdom)	https://data.geo-kima.org/Places/Details/22019			
15	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	דמתא		2	fuzzy	1.0	8964	Damietta (Egypt)	https://data.geo-kima.org/Places/Details/8964			
16	HIGH	fuzzy_autolink	very short Hebrew spelling (4 letters) — homograph / wrong-town risk	סכתה		2	fuzzy	1.0	6241	Sukhothai (Thailand)	https://data.geo-kima.org/Places/Details/6241			
