case_id	story_id	tag	opus_applies	opus_confidence	sonnet_applies	opus_reasoning
ADJ-001	Shivhei-Habesht_0208	kabbalah:kabbalistic_terms_kavvanot	True	high	True	The Besht teaches his son a divine Name and instructs him to meditate on it (תכוון שם זה), an explicit kabbalistic kavvanah; also references sod ha-ibbur.
ADJ-002	Shivhei-Habesht_0065	practice:smoking	True	high		Besht took his pipe (לקח הלולקע).
ADJ-003	Shivhei-Habesht_0001	experience:revelation	True	high		The story explicitly depicts multiple revelations: dream-revelations telling Eliezer not to flee, heavenly disclosures of war strategy, and Elijah appearing to announce the birth of the Besht.
ADJ-004	Peer-MiKdoshim_0009	characters-and-roles:hidden_righteous	False	high		The tzaddik is a famous, publicly renowned rabbi/advisor to the Kaiser, not a hidden righteous person.
ADJ-005	Shivhei-Habesht_0004	times:holidays	True	high		The story explicitly takes place during Sukkot (חה״מ סוכות) when the tefillin incident occurs.
ADJ-006	Maase-Zadikim_0006	experience:revelation	True	high		The rebbe reveals hidden heavenly secrets (the man's past deed, the heavenly court's decree) to his followers — a direct mystical disclosure (giluy).
ADJ-007	Shivhei-Habesht_0091	supernatural:perception	True	high		R. Nachman perceives and converses with the deceased Baal Shem Tov at his grave, who instructs him to travel to the Land of Israel — a clear supernatural perception others present could not see.
ADJ-008	Khal-Hasidim_0050	experience:revelation	True	high		The Baal Shem Tov mystically perceives a light/aura resting on the pious woman Rivele and supernaturally hears the heavenly accusation against the sick doctor — direct mystical disclosures.
ADJ-009	Peer-MiKdoshim_0005	social:retrospective_recognition	True	high		The boy belatedly realizes the supposed in-laws are actually idolatrous priests who lured him as a sacrifice — a clear retrospective recognition of hidden identity/situation.
ADJ-010	Khal-Hasidim_0036	ethics-and-emotions:virtues	False	medium		The story centers on repentance/teshuvah and the power of storytelling, not on a general virtue being illustrated.
ADJ-011	Shivhei-Habesht_0133	spaces:the_land_of_israel	True	low		Mentions 'צרות של ישראל' (troubles of Israel/Jewish people) but not the Land of Israel as setting or destination; no depiction of Eretz Yisrael.
ADJ-012	Shivhei-Habesht_0096A	folkloristics:story_type_prognostication	False	high		Story centers on a dream-instructed preaching mission and the Besht protecting him from the Samael; no prediction by a tzaddik that comes true drives the arc.
ADJ-013	Mifalot-HaZadikim_0018	kabbalah:kabbalistic_terms_yihudim	True	high	True	The Besht performs 'שמות הקדושים' (yihudim with divine names) contemplatively to extract a hidden sod from Samael.
ADJ-014	Shivhei-Habesht_0067	knowledge:practical_kabbalah	True	medium	True	The Besht uses mystical means (immersion in river, then mere appearance at the window) to free the man's son and frighten the lord — accusation of kishuf and concrete supernatural effect fit practical kabbalah.
ADJ-015	Mifalot-HaZadikim_0027	spaces:mikveh	False	high		Mention of seeking a river/water to immerse for Shabbat, but no mikveh scene actually occurs.
ADJ-016	Khal-Hasidim_0174	characters-and-roles:hidden_righteous	False	high		Story about R. Shneur Zalman of Liadi's arrest; no hidden righteous/lamed-vavnik figure depicted.
ADJ-017	Mifalot-HaZadikim_0002	knowledge:esoteric	True	medium	True	Story involves hidden mystical power in a mezuzah inscribed with R. Naftali's name, angelic names/supernal lights speculation, and a dream-revelation — esoteric/kabbalistic knowledge about name-power.
ADJ-018	Khal-Hasidim_0012	knowledge:esoteric	False	medium		Story involves Besht's miraculous powers, oaths altering nature, and Elijah's intervention, but does not depict kabbalistic/esoteric doctrine or hidden mystical knowledge being taught or transmitted.
ADJ-019	Shivhei-Habesht_0204	experience:trembling	False	high		The story mentions רעש ורוגז (anger/uproar) from the father, not physical trembling as religious/supernatural response.
ADJ-020	Mifalot-HaZadikim_0006	characters-and-roles:hidden_righteous	True	medium		The mysterious old innkeeper who joyfully serves all wayfarers, lives ascetically on bread and water, and whose blessing-fulfilled son the narrator encounters reads as a hidden righteous figure (tzaddik nistar) embodying hachnasat orchim.
ADJ-021	Khal-Hasidim_0167	characters-and-roles:the_family_of_the_tsaddik	False	high		No family members of the tzaddik appear; the story involves the tzaddik (R. Leib Sarah's) and an avrekh/bride, not the tzaddik's family.
