decision,notes,tag,story_id,story_url,hebrew_extract,why_suggested,edition,confidence
confirm,,practice:protection,Khal-Hasidim_0173,https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0173,"וע""כ הזמינו לו מן השמים מצות פיקוח נפש שהוא גדולה מכל המצות אך כדי שלא יתחמץ ע""כ נתעורר עליו זכות אבות ובקשו עליו לקרב מיתתו בכדי…","The story depicts the protagonist protecting the Jewish community by refusing to inform despite torture, and saving a woman from freezing to death.",Khal-Hasidim,high
confirm,,practice:protection,Shivhei-Habesht_0207,https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0207,ואח״כ בעת הסעודה צוה להמשרת שיתן דבש בצלוחית גדולה ונתן בקטנה אמר אין שלטון ביום המות אפי' הגבאי אינו ציית אותי ואח״כ אמר ע״כ…,The Besht explicitly orders his servant to warn the townspeople to clear the way to protect them from the harm of an angry spirit he had just expelled.,Shivhei-Habesht,high
confirm,,practice:protection,Khal-Hasidim_0026,https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0026,"וגם שמעתי ממנו אבל לא מפיו ממש בהיותו שוחט בק""ק טלטשין היה שובת הר׳ דוד הנ""ל ועשה ר' דוד מכפר חלאדווקע תנאים ושלח עגלות אחר כל…",The Baal Shem Tov deliberately humiliates a cantor to break his heart and protect his prayer from being intercepted by Samael or corrupted by foreign thoughts.,Khal-Hasidim,high
confirm,,practice:protection,Shivhei-Habesht_0060,https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0060,"שמעתי מהרב דקהלתנו מעשה באם של האחים ר׳ יוסף ור׳ יצחק הנ""ל שהי׳ דירתם בק""ק שאטאנאב ושמה דיא פרומע ריבעלע פ""א נסע הבעש״ט לק""ק הנ""ל…","The story depicts the woman's successful intercession to save a sick doctor from divine judgment and death, effectively protecting him through her advocacy.",Shivhei-Habesht,high
confirm,,practice:protection,Shivhei-Harav_0019,https://www.hasidic-stories.org/Story/Shivhei-Harav/Shivhei-Harav_0019,והנה פה מגמתינו לספר מתלמידו הקדוש מוהרא״ה אשר יצק מים על יד רבינו הקדוש שלשים שנה ולא זז מחבבו עד שגילה לו כל תעלומות חכמתו וכל…,The Rabbi provides the protagonist with a protective formula and spiritual guidance to ward off malevolent spirits that were tormenting and physically exhausting him nightly.,Shivhei-Harav,high
confirm,,practice:protection,Khal-Hasidim_0050,https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0050,פ״א באו שני בניה ר׳ יוסף ור׳ יצחק אליה על שבת לקיים מצות כיבוד אם ובאו לשם בחמישי בשבת ובאו בני העיר להקבל להקביל פניהם והכירו זה…,"The story depicts the protagonist interceding for a dying man by countering a heavenly accusation, thereby protecting him from death and spiritual judgment.",Khal-Hasidim,high
confirm,,practice:protection,Shivhei-Habesht_0015,https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0015,"שמעתי ממהורר פאלק החסיד המפורסם דק""ק טיטשילנק ששמע מר' אברהם אב""ד דק""ק דובאסאר שהי' מקודם ש""ץ בבית המדרש דק""ק מעזיבוז פ""א היו…","The Besht shames a disciple to break his heart and ensure his prayers are pure, specifically to protect the community's prayers from being intercepted by the Samael.",Shivhei-Habesht,high
confirm,,practice:protection,Khal-Hasidim_0086,https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0086,"מעשה כשבא הבעש״ט לק""ק מעזיבוז לא היה חשוב בעיני החסידים היינו הרה""ק ר' זאב קיצעס והרה""ק ר' דוד פורקעס מחמת השם שקראו אותו בעש״ט…",The Ba'al Shem Tov protects the dying man's soul by ensuring its safe passage and admission to the Garden of Eden despite a prior sin.,Khal-Hasidim,high
confirm,,practice:protection,Shivhei-Habesht_0096A,https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0096A,"שמעתי בבית הרב בק""ק נעמרו' מפי ר' משה הנ""ל ששמע מן המוכיח מעשה שחלם המוכיח שלמדו אותו דרשה והי׳ זוכר קצת דברים וסיפר לבעש״ט אמר…",The Besht explicitly intervenes to protect the Preacher from the Samael (Satan) and later works to heal him and his family from a life-threatening illness.,Shivhei-Habesht,high
confirm,,practice:protection,Adat-Zadikim_0023,https://www.hasidic-stories.org/Story/Adat-Zadikim/Adat-Zadikim_0023,"ויאמר אליהם חדלו לכם מן האיש הזה כי איננו חוטא ואת הר""ח עכב אצלו עד שבועיים שביעיים ואח״כ פטר אותו לביתו ויתיישב רבינו בדעתו אלך…",The Rema intervenes to save Rabbi Chaim from physical punishment (whipping) and public disgrace after he is falsely accused and brought before the court.,Adat-Zadikim,high
confirm,,practice:protection,Shivhei-Habesht_0203,https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0203,"פ""א נסע הבעש״ט עם תלמידיו והוכרחו ללון ביער אמרו התלמידים התנמידים בבדיחותא נראה הסעודה שיעשה הרב לנו ויאמר הרב לכן ביום מחר אי""ה…","The Besht identifies and removes a spiritual entity (demon/evil thought) that was harming the Rabbi's ability to pray, effectively protecting him from further spiritual harm.",Shivhei-Habesht,high
confirm,,practice:protection,Shivhei-Habesht_0160,https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0160,"מעשה שהיה אב""ד בק""ק באר ואחד מבני העיר חלק עליו ונסע אל השר להקביל עליו ואינו ידוע לי לו אם מעסק הרבנות או מעסק אחר והטה מן הדרך…",The story explicitly describes a ritual involving a minyan and a Torah scroll to protect a righteous rabbi from potential harm or judgment caused by an adversary's complaint.,Shivhei-Habesht,high
confirm,,practice:protection,Shivhei-Habesht_0165,https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0165,"שמעתי ואיני ואינו זוכר מה ששמעתי כשהיה החסיד המפורסם ר' יחיאל מיכל אצל הבעש""ט פ""א ביום הששי בבקר קודם תפלות שחרית אמר לו הבעש״ט…",The Besht intervenes to ensure the husband arrives home in time to perform a specific ritual to protect his wife from the mortal danger of difficult labor.,Shivhei-Habesht,high
confirm,,practice:protection,Sipurei-Zadikim_0001,https://www.hasidic-stories.org/Story/Sipurei-Zadikim/Sipurei-Zadikim_0001,ויראה להם הרב פעם אחת משרת אחד נושא משא גדולה על כתיפו ויקרא אותו הרב וידבר עמו מפה לאזן דברים אחדים ויאמר לכו אחרי האיש הזה וראו…,Rabbi Leib Sarahs explicitly protects the young man in the Duke's palace by warning him of danger and instructing him to hold onto his belt to save his life.,Sipurei-Zadikim,high
confirm,,practice:protection,Khal-Hasidim_0128,https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0128,"עתה נכתוב קצת מפטירתו שהיה הסתלקותו ביום א׳ דשבועות בפסח שקודם זה הי' הרה""ק מו' פנחס מ קאריץ אצל הבעש״ט ונחלש מעט ומפני זה בעי״ט…",The Baal Shem Tov actively attempts to protect the community by ordering his servant to warn people to clear the path so they are not harmed by a wandering spirit he had just rebuked.,Khal-Hasidim,high
