story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt	should_tag	notes
Mifalot-HaZadikim_0026	Mifalot-HaZadikim	embedding	0.965		False	high	The story focuses on identifying the 'tzaddik of the generation' through the transmission of secret Torah teachings and contains no mention of physical illness or healing.	וא נסתר ובאתי לפניו ואמרתי לו רבי למדיני אורחות חיים וכששמע זאת אז מילא פיו בצחוק והיתול ואמר להעומדים עליו השמעתם איש שוטה הזה קורא לי רבי ורוצה להיות בחברתינו הצריכים אנחנו לשוטים כאלו אז ענו כולם בצחוק והיתול ובאמת לא		
Mifalot-HaZadikim_0027	Mifalot-HaZadikim	embedding	0.964		False	high	The mention of the skin disease (boils) is part of a backstory about past mistreatment/neglect rather than a depiction of a healing miracle by the Tzaddik.	 להרוג אותם הוא רוצה והנה בתוך כך נפתחה דלת אחת מן החדרים המוסגרים החרבים ויצא משם אשם אחת עשירה ומקושטת ויגש לפני רום פני הבעש״ט זי״ע ואמר לו רבי אני מבקש מכם לשבות אצלי בשבת קודש ענה הבעש״ט ואמר שתי פליאות לי אחת האיך 		
Khal-Hasidim_0004	Khal-Hasidim	embedding	0.963		False	high	The story describes the revelation of the Besht's hidden righteousness and spiritual powers, but does not depict the healing of any physical illness.	"י לפלא בעיניו ויהי בבוקר וילך לבית התבודדות להתפלל שם כדרכו ובבואו לביתו בא שמח וטוב לב בנשיאת ראש והלך בביתו אנה ואנה לומר אסדר לסעודתא ועשה קדושא רבא כדרכו בדביקות נפלא ובתוך הסעודה ביקש את האורח שיאמר ד""ת. ולא היה יוד"		
Shivhei-Habesht_0193	Shivhei-Habesht	embedding	0.962		False	high	The story concerns the Baal Shem Tov identifying a sinner and prescribing penance, resulting in the man's death after failing to comply, rather than a physical healing.	"Shivhei-Habesht_0193 תיוגים* פ""א הי' הבעש״ט באיזה קהילה והי׳ אכסניאותו על העלי' : פעם א׳ ראה איש א׳ עובר על הרחוב מיד צוה להמשרת שלו רוץ מהר וקרא לי את האיש הזה וירץ הנער ויקרא לו ומתחילה נתפעם לבו ולא רצה לילך ועכ״ז לא "		
Khal-Hasidim_0202	Khal-Hasidim	embedding	0.962		False	high	The story focuses on overcoming infertility and a previous curse through a blessing/oath for a child, rather than the healing of a bodily illness.	 הקדוש הסבא קדישא כי יתפלל בעדו להשם ית' שיושיעהו בפרי בטן והצדיק הנזכר היה מדחה אותו בלך ושוב בכל יום פעם אמר לו כ כי יעשה סעודת מרעים להחסידים והמה יברכו אותו אולי יעלה בידם וכן עשה ולא הועילו לו מאומה ובכל פעם בואו לר		
Mifalot-HaZadikim_0006	Mifalot-HaZadikim	embedding	0.962		False	high	The story describes a miracle of conception/birth for an elderly couple following a blessing, but does not involve the healing of a bodily illness or disease.	 ועתה טוב לי מאז כי הוא הכה אותי תמיד ועתה כשהוא מת ואמי ג״כ מתה וביתו נשרף והונו ורכושו נאבד טוב לי מאוד כי יכול אני לילך בשרירות לבי ואין מוחה בידי ונתחברתי אל העניים המסבבים וסבותי גם אני עליהם לשקוד על פתחי נדיבים לב		
Shivhei-Habesht_0020	Shivhei-Habesht	embedding	0.962		False	high	The story focuses on the spiritual rectification (tikun) of the souls of the dead and mystical visions, not the healing of physical illness in living people.	"ושה לו תיקון ומתפלל בעדו ומעלהו והחשוב חשוב קודם והם רבים כ״כ שאם רציתי להעלות כולם הייתי צריך לעמוד ש״ע שלש שנים אך כשאני שומע הכרוז שמכריז תקודש מקודש וא""א עוד להעלות הנשמות אני פוסע מן הש""ע ואמר אליו רבי גרשון בדרך שח"		
Khal-Hasidim_0086	Khal-Hasidim	embedding	0.961		False	high	The Besht does not heal the student; instead, he predicts his death and ensures the salvation of his soul in the afterlife.	"Khal-Hasidim_0086 תיוגים מעשה כשבא הבעש״ט לק""ק מעזיבוז לא היה חשוב בעיני החסידים היינו הרה""ק ר' זאב קיצעס והרה""ק ר' דוד פורקעס מחמת השם שקראו אותו בעש״ט כי שם זה אינו נאה לצדיק והיה להם תלמיד הגון וחלה והוא והיא היה איש "		
Shivhei-Habesht_0207	Shivhei-Habesht	embedding	0.961		False	high	The story describes the death of the Baal Shem Tov and his own illness; while he teaches others how to recognize the departure of the soul from the body, no act of healing occurs.	"סגולתו לנעור כל הלילה כתקון האר""י ז""ל ואמר לפניהם ד״ת על ענין הסדר וענין מ״ת בבקר שלח לאנשי סגולתו שיתאספו כולם וצוה לר׳ ליב קעסלר ועוד א׳ שכחתי שמו שיתעסקו בקבורתו ולימד ולמד אותם על גופו על כל אבר הראה להם סימנים איך נ"		
Shivhei-Habesht_0002	Shivhei-Habesht	embedding	0.961		False		[error] Unterminated string starting at: line 4 column 3 (char 48)	"ץ ממון. וישב לו הנה אבי המנוח ז""ל הי' צדיק מפורסם וצוה עלו לפני הסתלקותו לישא אשה פה ק""ק אקום . ומוכרח אני לקיים כל דבריו. ומיד ותהום כל העיר שהיו לפניו כמה שידוכים ונשתדך עם נגיד א׳, כי נשא חן בעיני כל רואיו. ויהי אחרי "		
Khal-Hasidim_0026	Khal-Hasidim	embedding	0.961		False	high	While the story mentions the Maggid was very ill, the interaction with the Baal Shem Tov results in the Maggid experiencing overwhelming trembling and divine presence rather than a physical healing.	"פעמים ואח״כ רמז שילכו להתפלל לפני התיבה ובא ר' דוד הנ""ל להתפלל כי הוא היה מתפלל בימים נוראים וכשבא סמוך לתיבה התחיל הבעש״ט לבזותו בפני כל עם ועדה ואמר בזה הלשון זקן אשמאי היכן אתה הולך וביזה וגינה אותו ערך חצי שעה והיה ר"		
Shivhei-Habesht_0112	Shivhei-Habesht	embedding	0.96		False	high	The Besht does not heal the sick person; instead, he informs him that he will die and focuses on ensuring his soul's entry into Paradise.	ידיעה למעל' את מי יכניסו בג״ע והכריחו את החולה שיתן להם ת״כ שיגלה להם איך יתנהגו עמו אחר מותו וכשמת בא להם וגילה להם שהכניסו אותו לג״ע ולא ראה שם הבעש״ט ולא ידע על ידי מי הכניסו אותו אך לא היה לו מקום בג״ע כי כאשר ישב במ		
Khal-Hasidim_0017	Khal-Hasidim	embedding	0.96		False	high	The story focuses on poverty and spiritual reincarnation (gilgul) rather than the healing of physical illness.	"ספרו לו גנות ורעות האיש אשר שואל עליו כי היה רשע שאין דומה לו ר""ל : וישא הת""ח ההוא את רגליו וישב לביתו בפחי נפש בלי שום תשוע' כי אם ברפיון כח מרוב הדרך והיגונות אשר מצאתהו עדי בואו לביתו העיר הגדולה אשר שם היה הבעש""ט זלל"		
Shivhei-Habesht_0197	Shivhei-Habesht	embedding	0.96		False	high	The story concerns the transmission and subsequent forgetting of mystical knowledge (the language of animals), with no mention of bodily illness or healing.	"Shivhei-Habesht_0197 תיוגים* מעשה הי' שהרב המוכיח מוה' ארי׳ ליב מפולנאה חשקה נפשו מאוד ללמוד חכמת שיחת בהמות ועופות ושיחת דקלים מצד שנצרך לו זה לתוכחה ומאחר שהיה כוונתו לש""ש נגמר בדעתו ליסע ל הבעש״ט ולבקש ממנו שילמד אותו"		
Khal-Hasidim_0111	Khal-Hasidim	embedding	0.96		False	high	The story focuses on sin, repentance, and divine punishment rather than the healing of a physical illness.	"Khal-Hasidim_0111 תיוגים פ""א היה הבעש""ט באיזה קהילה והי' אכסניתו על העלי' פעם א' ראה איש א' עובר על הרחוב מיד צוה להמשרת שלו רוץ מהר וקרא לי את האיש הזה וירץ הנער ויקרא לו ומתחילה נתפעם לבו ולא רצה לילך ועכ""ז לא יכול להע"		
Khal-Hasidim_0002	Khal-Hasidim	embedding	0.96		False		[error] Unterminated string starting at: line 1 column 55 (char 54)	 כך ישן הבעש״ט ויעמוד בן הרב ולקח קונטרס אחד מהכתבים וינח לפניו ועשה א״ע עוד כאילו הוא ישן וכאשר נעור הבעש״ט וראה את הקונטרס נזדעזע נזדזע מאוד ולמד אותם ויציעם בתוך חיקו. וכן עשה בן הרב עוד בלילה אחרת עד שראה בבירור שזה 		
Khal-Hasidim_0253	Khal-Hasidim	embedding	0.96		False	high	The story focuses on themes of humility, hidden righteousness, and a visit from Elijah the Prophet, with no mention of bodily illness or healing.	"לחה עשירית מזה כי תוכל ליקח את הרב הגדול ר""ח לחתן לך כי כן וכן הגיד לי ואנכי ידעתי כי יש לך בת בתולה הגונה וגם בית מיוחדת בחצר אך ספרים שאין לך לכ ע""כ ראה מה תעשה והזהר לא לגלות הדבר והי' זריז בזה כי יבא יום אשר יבא רבינ"		
Adat-Zadikim_0023	Adat-Zadikim	embedding	0.96		False	high	The story focuses on the themes of humility, hidden righteousness (tzaddik nistar), and Torah study; there is no mention of physical illness or healing.	"ו ויביט עליו ויכירהו ויצוה תיכף להתירו ויקחהו בידו בידי במהרה לחררו ויפול על צוארו ויבך מאוד וכהתימו לבכות נשא עיניו והנה הר""ח מצחק ויאמר לו רבינו שלשה דברים אשאלך מאין באת לבית האופה ומה חטאך אשר הגידו עליך ומה אתה מצחק"		
Maase-Zadikim_0016	maase-zadikim	embedding	0.96		False		[error] Unterminated string starting at: line 4 column 16 (char 61)	קדוש הסבא קדישא כי יתפלל בעדו השם ית' שיושיעהו בפרי בטן והצדיק הנזכר היה מדחה אותו בלך ושוב בכל יום פעם אמר לו כי יעשה סעודת מרעים להחסידים והמה יברכו אותו אולי יעלה בידם וכן עשה ולא הועילו לו מאומה ובכל פעם בואו לרבו הק		
Shivhei-Habesht_0138	Shivhei-Habesht	embedding	0.96		True	high	The text explicitly states that in Radwill and subsequent locations, people sought out the Besht for 'refuot' (healings/cures).	"ט נסע לדרכו ובאו וכשראו ששהה נסיעתם אמרו אנחנו נלך לבהמ""ד וכשיהי' מוכן לנסוע יתן לנו ר' מאיר ידיעה ונבוא וכן הי' שהודיע להם ובאו ונתן הנגיד ל הבעש״ט בפעם ראשונה א׳ אד""ז וכשבאו וכשבאי פ""ש לקח הבעש״ט אותו א""ז ונתן להנגיד ה"		
Shivhei-Habesht_0135	Shivhei-Habesht	embedding	0.96		False	high	The story describes a supernatural removal and restoration of a scholar's knowledge/intellect as a spiritual rebuke, not the healing of a physical bodily illness.	"וף השולחן וגער בו הבעש״ט בזה""ל אני שונא ענוותן בא ושב בכאן והתחיל הרב להחזיר הדרשה ורבי מיכל מקשה ורבי זאב מפלפל עמו עד שנצחו והיה רבי מיכל בוש בדבר ועמד על זה אע""פ שהי׳ עקום ולא רצה להודות על האמת התחיל הבעש״ט לבקש ואמ׳"		
