story_id	tag	source	source_story	opus_confidence	opus_reasoning
Adat-Zadikim_0001	folkloristics:story_type_revelation	propagated	Mifalot-HaZadikim_0027	high	The story centers on the revelation of a hidden tzaddik (the seemingly boorish innkeeper) to the Besht and his disciples.
Adat-Zadikim_0001	social:inter_hasidic	propagated	Mifalot-HaZadikim_0027	high	Story depicts the Besht traveling together with three named disciples (Hasidim) interacting among themselves throughout the journey.
Adat-Zadikim_0002	supernatural:perception	propagated	Khal-Hasidim_0030	high	The Besht supernaturally foreknows the future parnasim's names, the man's future poverty, and the simultaneous births of son and daughter — clear ruach hakodesh.
Adat-Zadikim_0003	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	The story centrally depicts the master-disciple relationship between Rabbi Adam's son (as teacher) and the young Baal Shem Tov (as servant/disciple) studying the mystical writings together.
Adat-Zadikim_0003	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	The story explicitly depicts the beit midrash as a setting where Israel (the Besht) serves and where the rabbi's son requests a partition to study.
Adat-Zadikim_0004	folkloristics:story_type_prognostication	propagated	Khal-Hasidim_0036	high	The Besht predicts that R. Yaakov will become wealthy from telling stories about him, and the prophecy is fulfilled when the wealthy convert rewards him generously.
Adat-Zadikim_0004	social:inter_hasidic	propagated	Mifalot-HaZadikim_0027	high	Story depicts the Besht traveling together with three named disciples (Hasidim) interacting among themselves throughout the journey.
Adat-Zadikim_0004	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	The story explicitly depicts the beit midrash as a setting where Israel (the Besht) serves and where the rabbi's son requests a partition to study.
Adat-Zadikim_0005	supernatural:perception	direct	Adat-Zadikim_0005	high	The Baal Shem Tov is told from Heaven to travel, and he perceives from the host's face that money is/will be available — supernatural knowing.
Adat-Zadikim_0006	characters-and-roles:preacher	propagated	Khal-Hasidim_0237	high	The Maggid of Kozhnitz features prominently as a character (called הרב המגיד / ה״מ) alongside the Seer of Lublin.
Adat-Zadikim_0007	ethics-and-emotions:lying	propagated	Khal-Hasidim_0243	high	The innkeeper initially denies/conceals (ויכחד) his powers when asked, constituting deception by a character.
Adat-Zadikim_0007	social:relations_with_non_jews	propagated	Maase-Zadikim_0018	medium	The story includes interaction with the non-Jewish שר העיר (lord) who summons the innkeeper.
Adat-Zadikim_0007	social:retrospective_recognition	direct	Adat-Zadikim_0007	high	The Rebbe of Apta investigates the innkeeper to test him, and belatedly recognizes him as a truly righteous man of faith, confirming his blessings come from holiness.
Adat-Zadikim_0007	supernatural:perception	propagated	Maase-Zadikim_0018	medium	The Rebbe of Apta investigates whether the innkeeper's power comes from holiness or the sitra achra, implying discernment of hidden spiritual sources, though the main thrust is bitachon rather than supernatural perception.
Adat-Zadikim_0008	ethics-and-emotions:lust	propagated	Khal-Hasidim_0001	high	The story explicitly addresses sexual desire/lust: the father refrains from touching his wife, and the Besht is quoted saying his soul could only descend once his father's תאווה was exhausted.
Adat-Zadikim_0008	folkloristics:story_type_prognostication	propagated	Khal-Hasidim_0036	high	The Besht predicts that R. Yaakov will become wealthy from telling stories about him, and the prophecy is fulfilled when the wealthy convert rewards him generously.
Adat-Zadikim_0008	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	The story explicitly depicts the beit midrash as a setting where Israel (the Besht) serves and where the rabbi's son requests a partition to study.
Adat-Zadikim_0009	ethics-and-emotions:fear	direct	Adat-Zadikim_0009	high	"R. David explicitly trembles in fear (ויחרד לב הרר""ד) worrying he has sinned before the Baal Shem Tov."
Adat-Zadikim_0009	ethics-and-emotions:virtues	direct	Adat-Zadikim_0009	medium	Story illustrates virtues of humility, self-examination, and acceptance of judgment, with an explicit moral about weighing reward against loss.
Adat-Zadikim_0009	experience:revelation	direct	Adat-Zadikim_0009	high	The Besht reveals to R. David the hidden mystical truth about the soul awaiting him for 70 years, and a heavenly voice discloses his innocence — direct supernatural revelation.
Adat-Zadikim_0009	folkloristics:story_type_prognostication	propagated	Khal-Hasidim_0045	high	The Besht predicts Reb David will know himself when his exile-atonement is complete, and this prophecy is fulfilled in the Slonim episode.
Adat-Zadikim_0009	social:conflict	direct	Adat-Zadikim_0009	high	The story features clear conflict between R. David and the wicked darshan who frames him, accuses him publicly, and orders him flogged.
Adat-Zadikim_0009	supernatural:communicating_with_the_invisible	direct	Adat-Zadikim_0009	high	A heavenly voice repeatedly knocks on the windows asking for R. David, an invisible communication from above that drives the story's resolution.
Adat-Zadikim_0009	supernatural:prognostication	direct	Adat-Zadikim_0009	high	The Besht predicts R. David will know by himself when his exile/atonement is complete, which comes true.
Adat-Zadikim_0012	ethics-and-emotions:fear	propagated	Khal-Hasidim_0149	high	Story explicitly depicts fear: the boy weeps and the Maggid tells him 'do not fear', his attendants 'חרדו מאוד' fearing R' Yaakov Yosef's punishment, and he reassures people 'אל תפחדו'.
Adat-Zadikim_0013	folkloristics:story_type_prognostication	propagated	Khal-Hasidim_0036	high	The Besht predicts that R. Yaakov will become wealthy from telling stories about him, and the prophecy is fulfilled when the wealthy convert rewards him generously.
Adat-Zadikim_0013	folkloristics:story_type_revelation	propagated	Khal-Hasidim_0253	high	The story's climax is the revelation of R. Chaim's hidden tzaddik status—living disguised as a baker's son-in-law, studying with Elijah—uncovered by the Rema.
Adat-Zadikim_0013	social:inter_hasidic_master_disciple_relationship	propagated	Khal-Hasidim_0002	high	The story centrally depicts the master-disciple relationship between Rabbi Adam's son (as teacher) and the young Baal Shem Tov (as servant/disciple) studying the mystical writings together.
Adat-Zadikim_0013	social:marital_relationship	propagated	Khal-Hasidim_0253	high	The story depicts R. Chaim's marriage and explicitly describes his wife as righteous and doing her husband's will, portraying the marital relationship.
Adat-Zadikim_0013	spaces:beth_midrash	propagated	Shivhei-Habesht_0002	high	The story explicitly depicts the beit midrash as a setting where Israel (the Besht) serves and where the rabbi's son requests a partition to study.
Adat-Zadikim_0013	spaces:institutions_hassidic_court	propagated	Shivhei-Harav_0019	high	The story depicts the rebbe's court at Strashelye with disciples and rabbis gathered in the great hall waiting for the rebbe to emerge from his chamber.
Adat-Zadikim_0014	ethics-and-emotions:fear	propagated	Khal-Hasidim_0251	high	The story explicitly depicts fear — the living man trembles (ויחרדו) at the dead man's summons, falls ill from dread, and asks the Maharsha for advice, who tells him 'do not fear' (אל תפחד).
Adat-Zadikim_0014	folkloristics:story_type_rapprochement	propagated	Shivhei-Habesht_0184	high	The wealthy skeptic initially refuses to travel to the Besht and disbelieves his words, but through the miraculous events involving his son and Jonah ben Amittai, he becomes a devoted follower.
