story_id	tag	model	confidence	reasoning
Khal-Hasidim_0002	practice:music	gemini-3	high	The story focuses on mystical writings, magical feasts, and solitude in the mountains; it contains no mention of music or melody as a practice, other than an incidental idiomatic phrase.
Khal-Hasidim_0002	practice:pidyon_nefesh	gemini-3	high	The story focuses on the transmission of mystical writings and the early life of the Besht, without any depiction of a monetary gift given to a tzaddik for prayer or intercession.
Khal-Hasidim_0125	practice:ritual_slaughtering	opus-cli	medium	A shochet is mentioned as host/character/profession; shechita act not depicted (definitional Q for PI).
Khal-Hasidim_0168	practice:recitation_of_psalms	gemini-3	high	The story focuses on spiritual guidance, the burning of problematic writings, and an encounter with a hidden Tzaddik (R' Leib Sarah's), but does not mention the recitation of Psalms.
Khal-Hasidim_0174	practice:pilgrimage_to_the_graves_of_tsaddikim	gemini-3	high	The story focuses on the life, leadership, and imprisonment of Rabbi Shneur Zalman of Liadi; it contains no mention of visiting or prostrating at the graves of tzaddikim.
Khal-Hasidim_0218	practice:recitation_of_psalms	gemini-3	high	The story focuses on Torah study, the role of a prayer leader (Shaliach Tzibbur), and the influence of Hasidic masters, but contains no mention of reciting Psalms.
Khal-Hasidim_0253	practice:pilgrimage_to_the_graves_of_tsaddikim	gemini-3	high	The story focuses on the hidden life and humility of Rabbi Chaim and his interactions with the Rema and Elijah the Prophet, without any mention of visiting graves.
Mifalot-HaZadikim_0006	practice:music	gemini-3	high	The story focuses on the mitzvah of hospitality and the fate of a specific family; it contains no mention of singing, melodies, or musical instruments.
Mifalot-HaZadikim_0006	practice:releasing_agunot	gemini-3	high	The story is about hospitality (hachnasat orchim) and the life of a son born from a blessing; it contains no mention of an aguna or the practice of releasing one.
Peer-MiKdoshim_0001	practice:releasing_agunot	gemini-3	high	The story concerns a woman seeking the recovery of money given to a business associate who died; it does not involve a missing husband or marital status.
Peer-MiKdoshim_0011	practice:recitation_of_psalms	gemini-3	high	The story depicts the protagonist being saved from a death plot because he stopped to perform a circumcision (brit milah), not through the recitation of Psalms.
Shivhei-Habesht_0002	practice:pidyon_nefesh	gemini-3	high	While the bandits ask the Besht to pray for their success, there is no mention of a monetary gift (pidyon) being given to the tzaddik in exchange.
Shivhei-Habesht_0002	practice:pilgrimage_to_the_graves_of_tsaddikim	gemini-3	high	The story mentions R. Adam finding writings in a cave and the burial of his son, but it does not depict the practice of pilgrimage or prostration at the graves of tzaddikim.
Shivhei-Habesht_0072	practice:ritual_slaughtering	gemini-3	high	The mention of a slaughterer and a knife is incidental background to explain the unavailability of meat; the story's actual focus is on reincarnation and soul rectification via a fish and a dog.
Shivhei-Habesht_0100	practice:ritual_slaughtering	opus-cli	medium	A shochet is mentioned as host/character/profession; shechita act not depicted (definitional Q for PI).
Shivhei-Habesht_0206	practice:ritual_slaughtering	opus-cli	medium	A shochet is mentioned as host/character/profession; shechita act not depicted (definitional Q for PI).
Sipurei-Zadikim_0007	practice:pidyon_nefesh	gemini-3	high	The term 'pidyon' is used in the story to describe a self-performed ritual or symbolic act using food items (eggs/potatoes) to escape detection while hiding, not the practice of a follower giving a monetary gift to a tzaddik for intercession.
