story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt	should_tag	notes
Mifalot-HaZadikim_0026	Mifalot-HaZadikim	embedding	0.965		True	high	The story explicitly describes a student living in a secluded ruin for several years, avoiding all human contact to focus on spiritual instruction from a hidden tzaddik.	וא נסתר ובאתי לפניו ואמרתי לו רבי למדיני אורחות חיים וכששמע זאת אז מילא פיו בצחוק והיתול ואמר להעומדים עליו השמעתם איש שוטה הזה קורא לי רבי ורוצה להיות בחברתינו הצריכים אנחנו לשוטים כאלו אז ענו כולם בצחוק והיתול ובאמת לא		
Mifalot-HaZadikim_0027	Mifalot-HaZadikim	embedding	0.964		False	high	The characters are lost in the wilderness and the host lives in isolation as a hidden tzaddik, but the story does not depict the specific spiritual practice of solitary withdrawal (Hitbodedut).	 להרוג אותם הוא רוצה והנה בתוך כך נפתחה דלת אחת מן החדרים המוסגרים החרבים ויצא משם אשם אחת עשירה ומקושטת ויגש לפני רום פני הבעש״ט זי״ע ואמר לו רבי אני מבקש מכם לשבות אצלי בשבת קודש ענה הבעש״ט ואמר שתי פליאות לי אחת האיך 		
Shivhei-Habesht_0020	Shivhei-Habesht	embedding	0.963		False	high	The story describes a mystical experience during formal prayer (Amidah) in a communal/synagogue setting, rather than solitary withdrawal or hitbodedut.	"ושה לו תיקון ומתפלל בעדו ומעלהו והחשוב חשוב קודם והם רבים כ״כ שאם רציתי להעלות כולם הייתי צריך לעמוד ש״ע שלש שנים אך כשאני שומע הכרוז שמכריז תקודש מקודש וא""א עוד להעלות הנשמות אני פוסע מן הש""ע ואמר אליו רבי גרשון בדרך שח"		
Khal-Hasidim_0102	Khal-Hasidim	embedding	0.963		False	high	The story depicts a mystical encounter in a forest house due to getting lost, rather than an intentional practice of solitary spiritual withdrawal (hitbodedut).	"ימים שלח השר בעצמו אחריו ונתן לו האורנדע כדבר הבעש״ט והי' סבור אולי השר נצרך כהיום למעות מאד והציקתו לעבור ע""ד ובתוך שנה ילדה אשתו ב""ז אבל לא עלה ע""ד להודיע ל הבעש״ט כי אמר מקרה הוא ויגדל הילד הלוך וגדול ונעשה פרא אדם ממ"		
Khal-Hasidim_0017	Khal-Hasidim	embedding	0.963		False	high	The story focuses on reincarnation, poverty, and constant Torah study, but does not describe any form of solitary withdrawal or hitbodedut.	"ספרו לו גנות ורעות האיש אשר שואל עליו כי היה רשע שאין דומה לו ר""ל : וישא הת""ח ההוא את רגליו וישב לביתו בפחי נפש בלי שום תשוע' כי אם ברפיון כח מרוב הדרך והיגונות אשר מצאתהו עדי בואו לביתו העיר הגדולה אשר שם היה הבעש""ט זלל"		
Khal-Hasidim_0253	Khal-Hasidim	embedding	0.962		True	high	The protagonist explicitly seeks out a secret, solitary living arrangement in a private room to study and pray without distraction, which constitutes a clear spiritual withdrawal.	"לחה עשירית מזה כי תוכל ליקח את הרב הגדול ר""ח לחתן לך כי כן וכן הגיד לי ואנכי ידעתי כי יש לך בת בתולה הגונה וגם בית מיוחדת בחצר אך ספרים שאין לך לכ ע""כ ראה מה תעשה והזהר לא לגלות הדבר והי' זריז בזה כי יבא יום אשר יבא רבינ"		
Shivhei-Habesht_0034	Shivhei-Habesht	embedding	0.962		False	high	The story describes a mystical encounter and healing between the Maggid and the Besht, but it does not depict solitary withdrawal or hitbodedut.	ותו וגער בו הבעש״ט ואמר אין סוסי' שלי אוכלים מצות ונפל עליו זיעה מחמת חולשה ויצא לחוץ וישב על האצטבא שלפני הבית לנוח וראה איש אחד רך בשנים וקרא אותו אליו ואמר לו בבקשה ממך לך אל הבעש״ט ואמור לו למה אינו מקיים הפסוק ואהבת		
Shivhei-Habesht_0015	Shivhei-Habesht	embedding	0.962		False	high	The story describes intense prayer and spiritual trembling in communal settings (synagogue, before the congregation) rather than solitary withdrawal for spiritual purposes.	" בו כי אינו בזה העולם וכשלבש הקיטיל נקמט הקיטיל על כתיפיו ואחז המ״מ הגדול בקיטיל לפושטו מקמיטתו וכשנגע התחיל לרעוד ואחז בשולחן שהי׳ שם וגם השולחן התחיל לרעוד עמו ו הבעש״ט הלך עד שהוצרך להתפלל ולבקש מן השי""ת שיקח ממנו דבר"		
Shivhei-Habesht_0014	Shivhei-Habesht	embedding	0.962		False	high	The story describes the Besht's clairvoyance through the Zohar and the hidden light of the Torah; it contains no mention of solitary withdrawal or the practice of hitbodedut.	ך לעירינו א׳ פרסה ולא האמין ולדבריו כי האיך יוכל להיות כך כי הלא לא נעלם מבנו רב הגעגועים שלהם וכמים הפנים וכ׳ בוודאי אין כסף נחשב למאומה ויתן בעד פור כור מה שיבקשו בכדי שיבא על שבת לביתו עכ״ז לרווחא דמילתא שלח ערל א׳ לכ		
Khal-Hasidim_0026	Khal-Hasidim	embedding	0.962		False		[error] Expecting value: line 4 column 15 (char 60)	"פעמים ואח״כ רמז שילכו להתפלל לפני התיבה ובא ר' דוד הנ""ל להתפלל כי הוא היה מתפלל בימים נוראים וכשבא סמוך לתיבה התחיל הבעש״ט לבזותו בפני כל עם ועדה ואמר בזה הלשון זקן אשמאי היכן אתה הולך וביזה וגינה אותו ערך חצי שעה והיה ר"		
Khal-Hasidim_0031	Khal-Hasidim	embedding	0.962		False	high	The story describes a communal prayer setting and mystical experiences (Kavanot) during formal liturgy, rather than solitary withdrawal for spiritual purposes.	"ל בעדו ומעלהו והחשוב חשוב קודם והם רבים ג""כ שאם רצותי להעלות כולם הייתי צריך לעמוד ש״ע שלש שנים אך כשאני שומע הכרוז שמכריז מקודש מקודש וא""א עוד להעלות הנשמות אני פוסע מן הש""ע. ואמר אליו רבי גרשון בדרך שחוק למה אין באים א"		
Shivhei-Habesht_0135	Shivhei-Habesht	embedding	0.962		False	high	The Besht's brief separation from the group occurred because they were lost and he was in emotional distress; it was not an instance of the intentional spiritual practice of solitary withdrawal (Hitbodedut).	"וף השולחן וגער בו הבעש״ט בזה""ל אני שונא ענוותן בא ושב בכאן והתחיל הרב להחזיר הדרשה ורבי מיכל מקשה ורבי זאב מפלפל עמו עד שנצחו והיה רבי מיכל בוש בדבר ועמד על זה אע""פ שהי׳ עקום ולא רצה להודות על האמת התחיל הבעש״ט לבקש ואמ׳"		
