story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt	should_tag	notes
Mifalot-HaZadikim_0026	Mifalot-HaZadikim	embedding	0.964		False	high	The story focuses on the identification of a hidden Tzaddik and the verification of the Rizhiner's status through secret Torah knowledge, rather than spiritual or psychological healing of the soul.	וא נסתר ובאתי לפניו ואמרתי לו רבי למדיני אורחות חיים וכששמע זאת אז מילא פיו בצחוק והיתול ואמר להעומדים עליו השמעתם איש שוטה הזה קורא לי רבי ורוצה להיות בחברתינו הצריכים אנחנו לשוטים כאלו אז ענו כולם בצחוק והיתול ובאמת לא		
Khal-Hasidim_0004	Khal-Hasidim	embedding	0.963		False	high	The story describes the revelation of the Besht's hidden holiness and his acceptance as a leader, but it does not depict a specific act of spiritual or psychological soul-healing.	"י לפלא בעיניו ויהי בבוקר וילך לבית התבודדות להתפלל שם כדרכו ובבואו לביתו בא שמח וטוב לב בנשיאת ראש והלך בביתו אנה ואנה לומר אסדר לסעודתא ועשה קדושא רבא כדרכו בדביקות נפלא ובתוך הסעודה ביקש את האורח שיאמר ד""ת. ולא היה יוד"		
Khal-Hasidim_0017	Khal-Hasidim	embedding	0.962		True	high	The story explicitly describes a 'tikkun' (spiritual rectification) where the Besht reveals the protagonist's past incarnation to facilitate the repair of his soul's previous sins.	"ספרו לו גנות ורעות האיש אשר שואל עליו כי היה רשע שאין דומה לו ר""ל : וישא הת""ח ההוא את רגליו וישב לביתו בפחי נפש בלי שום תשוע' כי אם ברפיון כח מרוב הדרך והיגונות אשר מצאתהו עדי בואו לביתו העיר הגדולה אשר שם היה הבעש""ט זלל"		
Khal-Hasidim_0173	Khal-Hasidim	embedding	0.961		True	high	The story depicts a profound spiritual transformation and repentance (Teshuvah) of a sinner who consciously repairs his soul through self-reflection and prayer.	ל אשר עשה עד כה וכאשר נתייגע בזה מעט אז כמו נד נצבו לפניו כל העבירות שעשה מעודו. ויתמהמה מאוד ויעמוד הרבה ולא היה יכול לומר סלח לנו. עד כי נתחרט מאוד על כל מה שעשה וקבל עליו לעזוב חטאיו על להבא ועתה ישוב לביתו תיכף ולא י		
Mifalot-HaZadikim_0027	Mifalot-HaZadikim	embedding	0.961		True	high	The story depicts a deliberate spiritual intervention (through humiliation and suffering) to rectify a past sin and restore the Baal Shem Tov's lost portion in the World to Come.	 להרוג אותם הוא רוצה והנה בתוך כך נפתחה דלת אחת מן החדרים המוסגרים החרבים ויצא משם אשם אחת עשירה ומקושטת ויגש לפני רום פני הבעש״ט זי״ע ואמר לו רבי אני מבקש מכם לשבות אצלי בשבת קודש ענה הבעש״ט ואמר שתי פליאות לי אחת האיך 		
Khal-Hasidim_0140	Khal-Hasidim	embedding	0.96		False		[error] Unterminated string starting at: line 4 column 16 (char 60)	" אותו וגער בו הבעש״ט ואמר אין סוסים שלי אוכלות מצות ונפל עליו זיעה מחמת חולשה ויצא לחוץ וישב על האצטבא שלפני הבית לנוח וראה איש אחד רך בשנים וקרא אותו אליו ואמר לו לי בבקשה ממך לך אל הבעש""ט ואמור למה אינו מקיים הפסוק ואה"		
Shivhei-Habesht_0005B	Shivhei-Habesht	embedding	0.96		True	high	The story depicts the Baal Shem Tov performing an exorcism on a possessed woman and later healing a 'madman,' focusing on the repair of the soul (tikkun) rather than physical medicine.	"כא""וא כפי מעלתו ו הבעש״ט נכנס באחרונה וכשראתה אותו ואמרה ב""ה ר׳ ישראל כ' עדיין רך בשנים אמרה לו אתה סבור שאני מפחד ממך לא כי אני ידעתי שהזהירו אותך מן השמי' שלא לעסוק בשמות הקדושים עד שישתלמו לך ששה ושלשים שנה והוא הי׳ נ"		
Khal-Hasidim_0082	Khal-Hasidim	embedding	0.96		False	high	The story describes a mystical encounter with martyred souls and a discussion of the afterlife and divine justice, rather than a practice of spiritual or psychological soul-healing.	"ה על מטתה ו הבעש״ט עדיין שוכב על הארץ בפישוט ידים ורגלים ועמד ר' דוד הנ""ל אצל הפתח לראות מה יהי' הסוף ונתיגע לעמוד ולקח ספסל וישב אצל הפתח וכמו חצי לילה שמע שאמר לאשתו תכסה פניך וברגע האיר בחדר והיה מאיר דרך סדקים ואמר ב"		
Shivhei-Habesht_0207	Shivhei-Habesht	embedding	0.96		False		[error] Unterminated string starting at: line 4 column 16 (char 61)	"סגולתו לנעור כל הלילה כתקון האר""י ז""ל ואמר לפניהם ד״ת על ענין הסדר וענין מ״ת בבקר שלח לאנשי סגולתו שיתאספו כולם וצוה לר׳ ליב קעסלר ועוד א׳ שכחתי שמו שיתעסקו בקבורתו ולימד ולמד אותם על גופו על כל אבר הראה להם סימנים איך נ"		
Shivhei-Habesht_0034	Shivhei-Habesht	embedding	0.96		True	high	The story explicitly describes the Baal Shem Tov's attempt to heal the Maggid through 'words' (spiritual healing) which he calls a 'lasting healing' in contrast to physical medicine.	ותו וגער בו הבעש״ט ואמר אין סוסי' שלי אוכלים מצות ונפל עליו זיעה מחמת חולשה ויצא לחוץ וישב על האצטבא שלפני הבית לנוח וראה איש אחד רך בשנים וקרא אותו אליו ואמר לו בבקשה ממך לך אל הבעש״ט ואמור לו למה אינו מקיים הפסוק ואהבת		
