story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt	should_tag	notes
Mifalot-HaZadikim_0026	Mifalot-HaZadikim	embedding	0.966		False	high	The story focuses on the recognition of a spiritual leader through mystical teachings and the tradition of hidden saints, containing no instance of physical rescue or life-saving.	וא נסתר ובאתי לפניו ואמרתי לו רבי למדיני אורחות חיים וכששמע זאת אז מילא פיו בצחוק והיתול ואמר להעומדים עליו השמעתם איש שוטה הזה קורא לי רבי ורוצה להיות בחברתינו הצריכים אנחנו לשוטים כאלו אז ענו כולם בצחוק והיתול ובאמת לא		
Mifalot-HaZadikim_0027	Mifalot-HaZadikim	embedding	0.964		False		[error] Unterminated string starting at: line 4 column 16 (char 61)	 להרוג אותם הוא רוצה והנה בתוך כך נפתחה דלת אחת מן החדרים המוסגרים החרבים ויצא משם אשם אחת עשירה ומקושטת ויגש לפני רום פני הבעש״ט זי״ע ואמר לו רבי אני מבקש מכם לשבות אצלי בשבת קודש ענה הבעש״ט ואמר שתי פליאות לי אחת האיך 		
Khal-Hasidim_0004	Khal-Hasidim	embedding	0.964		False	high	The story describes the spiritual revelation and hidden life of the Baal Shem Tov, but does not involve saving anyone from physical mortal danger.	"ד גדול ואחר האכילה אמר ישראל תכין לי הסוסים שאסע מיד וכן עשה קשר הסוסים בעגלה. אח""ז אמר הבעש״ט מה היה אם היה מעלתו שבת בכאן ויהי לצחוק בעיניו וכשנסע משם דרך חצי פרסה נשבר אצלו אופן א׳ וחזר לשם ונטל האופן ונסע לדרכו ופעם "		
Shivhei-Habesht_0193	Shivhei-Habesht	embedding	0.964		False	high	The story describes a man being rebuked for striking his father and failing to complete his penance, resulting in his own death rather than a life being saved.	"Shivhei-Habesht_0193 תיוגים* פ""א הי' הבעש״ט באיזה קהילה והי׳ אכסניאותו על העלי' : פעם א׳ ראה איש א׳ עובר על הרחוב מיד צוה להמשרת שלו רוץ מהר וקרא לי את האיש הזה וירץ הנער ויקרא לו ומתחילה נתפעם לבו ולא רצה לילך ועכ״ז לא "		
Shivhei-Habesht_0002	Shivhei-Habesht	embedding	0.963		False		[error] Unterminated string starting at: line 4 column 16 (char 60)	"ץ ממון. וישב לו הנה אבי המנוח ז""ל הי' צדיק מפורסם וצוה עלו לפני הסתלקותו לישא אשה פה ק""ק אקום . ומוכרח אני לקיים כל דבריו. ומיד ותהום כל העיר שהיו לפניו כמה שידוכים ונשתדך עם נגיד א׳, כי נשא חן בעיני כל רואיו. ויהי אחרי "		
Khal-Hasidim_0202	Khal-Hasidim	embedding	0.963		False	high	The story focuses on a miracle for overcoming childlessness and providing charity for Passover, not on rescuing someone from mortal danger.	 הקדוש הסבא קדישא כי יתפלל בעדו להשם ית' שיושיעהו בפרי בטן והצדיק הנזכר היה מדחה אותו בלך ושוב בכל יום פעם אמר לו כ כי יעשה סעודת מרעים להחסידים והמה יברכו אותו אולי יעלה בידם וכן עשה ולא הועילו לו מאומה ובכל פעם בואו לר		
Mifalot-HaZadikim_0006	Mifalot-HaZadikim	embedding	0.963		False		[error] Unterminated string starting at: line 1 column 54 (char 53)	 ועתה טוב לי מאז כי הוא הכה אותי תמיד ועתה כשהוא מת ואמי ג״כ מתה וביתו נשרף והונו ורכושו נאבד טוב לי מאוד כי יכול אני לילך בשרירות לבי ואין מוחה בידי ונתחברתי אל העניים המסבבים וסבותי גם אני עליהם לשקוד על פתחי נדיבים לב		
Khal-Hasidim_0169	Khal-Hasidim	embedding	0.963		False	high	The story describes a social and religious conflict involving the dismissal of an adopted son for mocking holy figures; it contains no mention of saving someone from mortal danger.	"ם כבנו שתקו ממנו ולא אמרו לו דבר : ויהי כי נתיחמה לבב האיש הנ""ל ויכנוס להר""ר ר׳ ליב ויאמר לו לי אבי השמעת כי ברוך ואפרים מתכנים עצמם בשם הגדול רבי ומפרסמים שמם בעולם ולא ענהו הרב דבר אולם לעת תפילת ערבית קרא הרב לאיש אחר"		
Shivhei-Habesht_0020	Shivhei-Habesht	embedding	0.962		False	high	The story describes the spiritual elevation of the souls of the deceased (tikkun neshamot), not the saving of living people from physical mortal danger.	"ושה לו תיקון ומתפלל בעדו ומעלהו והחשוב חשוב קודם והם רבים כ״כ שאם רציתי להעלות כולם הייתי צריך לעמוד ש״ע שלש שנים אך כשאני שומע הכרוז שמכריז תקודש מקודש וא""א עוד להעלות הנשמות אני פוסע מן הש""ע ואמר אליו רבי גרשון בדרך שח"		
Shivhei-Habesht_0005B	Shivhei-Habesht	embedding	0.962		False	high	The story depicts exorcism, rain-making, and healing of 'madness,' but does not describe saving a character from imminent mortal danger or death.	"כא""וא כפי מעלתו ו הבעש״ט נכנס באחרונה וכשראתה אותו ואמרה ב""ה ר׳ ישראל כ' עדיין רך בשנים אמרה לו אתה סבור שאני מפחד ממך לא כי אני ידעתי שהזהירו אותך מן השמי' שלא לעסוק בשמות הקדושים עד שישתלמו לך ששה ושלשים שנה והוא הי׳ נ"		
