story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt	should_tag	notes
Shivhei-Habesht_0193	Shivhei-Habesht	embedding+lexical	0.964	יתענה	True	high	Penance to fast Mondays and Thursdays (שיתענה ב׳ וה׳).	"ה רבה בדה בנכימה רגה וביקש שיתן לו תשובה ע""ז ונתן לו תשובה שיתענה ב׳ וה׳ וגם יעמוד בבה״כ במקום האבלים ועוד שארי דברים וקיבל ע״ע לעשות סדר התשובה והזהיר הרב אותו שבאם ישנה איזה דבר ח""ו אזי לא ישלים שנתו ובמשך הזמן שעשה סד"		
Khal-Hasidim_0111	Khal-Hasidim	embedding+lexical	0.962	יתענה	True	high	Penance to fast Mondays and Thursdays.	"מת מיד בכה בבכיה רבה וביקש שיתן לו תשובה ע""ז ונתן לו תשובה שיתענה ב׳ וה׳ וגם יעמוד בבה""כ במקום האבלים עוד שארי דברים וקיבל ע״ע לעשות סדר התשובה והזהיר הרב אותו שבאם ישנה איזה דבר ח""ו אזי לא ישלים שנתו ובמשך הזמן שעשה סדר"		
Mifalot-HaZadikim_0006	Mifalot-HaZadikim	embedding+lexical	0.961	תענית	False		[error] Unterminated string starting at: line 4 column 16 (char 61)	לו הקיפיטליך תלים פ׳ ופ׳ ויכוונו באלו הכוונות ויתענו כך וכך תעניתים ויתפללו אלו ואלו התפילות אזי כשיבוא קץ הבירור והתיקון השייך להם אז ברגע אחת יתעקר הספינה מעצמה אל תוך ים הצלול ויהי כאשר ראה הרב כתובה הלזה אז שמח שמחה 		
Khal-Hasidim_0009	Khal-Hasidim	embedding+lexical	0.96	תענית התענה	True	high	Besht decreed a communal fast for rain (גזר תענית).	" פ""א אמר הבעש״ט להמוכסן תשלח להסביבה שיבואו לכאן למנין וגזר תענית ו הבעש״ט התפלל בעצמו לפני התיבה והאריכו בתפלה ושאל עכו""ם אחד למה התפללתם היום באריכות וגם היתה בכיה גדולה ביניכם והשיב לו האמת שהתפלל על הגשם ולצץ העכו""ם "		
Shivhei-Habesht_0170	Shivhei-Habesht	embedding+lexical	0.957	התענה	True	high	Penitential fast week to week for keri (התענה משבת לשבת).	" דברי' של בינו לבינה ולא יכול להתאפק מן הרהור וראה קרי ר""ל והתענה ע""ז משבת לשבת והרג את הקליפה אבל עדיין נשאר הרשימה ואמר שזה צריך לתקן והתחיל לבכות ואח״כ ראה ונדמה לו כמו חרב תלויה על הכותל ולקחתי החרב וחתכתי הגוי לשתים"		
Adat-Zadikim_0001	Adat-Zadikim	embedding+lexical	0.956	תענית	True	high	The story centers on a protagonist who chooses to fast on Shabbat to avoid taking charity, explicitly using the terms 'to fast' and 'in a fast' to describe his actions.	"בטיחה לי ולא זזתי ממקומי עד שלקחתי ת״כ מאתה ע״ז. והלכתי כך בתענית בשעה עשירית לבהכ""נ ואמרתי לאשתי כאשר אלך מבהכ""נ עם אנשים כאשר יצאו ישאלו אותי למה אינו דולק נר בביתך ולא אדע מה להשיבהו. וע""כ אתמהמה עד כלות העם לילך מבהכ"		
Khal-Kdoshim_0010	Khal-Kdoshim	embedding+lexical	0.956	התענה מתענה	True	high	The story describes specific individuals engaging in fasting as a religious practice to receive heavenly revelations and to inquire about divine justice.	ים מתחילים ושמרו ע״כ צריכין ליזהר שאיתא בספרי מוסר שחסיד א׳ התענה על אריכת הגלות ונתגלה לו בחלום איך יבא הגאולה שהעולם אינן משגיחין בעניית אמן על המחזיר וכו' ועל ירושלים. וגורמים להחזן שעושה ברכה לבטלה חס ושלום וכבר המה 		
Mifalot-HaZadikim_0026	Mifalot-HaZadikim	embedding	0.966		False	high	The story focuses on secret Torah study and the recognition of hidden tzadikim, explicitly mentioning that food was provided daily to the student rather than any practice of fasting.	וא נסתר ובאתי לפניו ואמרתי לו רבי למדיני אורחות חיים וכששמע זאת אז מילא פיו בצחוק והיתול ואמר להעומדים עליו השמעתם איש שוטה הזה קורא לי רבי ורוצה להיות בחברתינו הצריכים אנחנו לשוטים כאלו אז ענו כולם בצחוק והיתול ובאמת לא		
Khal-Hasidim_0004	Khal-Hasidim	embedding	0.966		False	high	The story describes the Besht's seclusion and ascetic lifestyle (living in the forest from Sabbath to Sabbath), but it never explicitly mentions fasting or fasts.	"י לפלא בעיניו ויהי בבוקר וילך לבית התבודדות להתפלל שם כדרכו ובבואו לביתו בא שמח וטוב לב בנשיאת ראש והלך בביתו אנה ואנה לומר אסדר לסעודתא ועשה קדושא רבא כדרכו בדביקות נפלא ובתוך הסעודה ביקש את האורח שיאמר ד""ת. ולא היה יוד"		
Khal-Hasidim_0202	Khal-Hasidim	embedding	0.966		False	high	The story describes extreme poverty and lack of food for Passover, but it does not mention fasting as a religious practice (Ta'anit).	 הקדוש הסבא קדישא כי יתפלל בעדו להשם ית' שיושיעהו בפרי בטן והצדיק הנזכר היה מדחה אותו בלך ושוב בכל יום פעם אמר לו כ כי יעשה סעודת מרעים להחסידים והמה יברכו אותו אולי יעלה בידם וכן עשה ולא הועילו לו מאומה ובכל פעם בואו לר		
Mifalot-HaZadikim_0027	Mifalot-HaZadikim	embedding	0.964		False	high	While the characters are hungry while lost and are denied a proper Shabbat meal by their host, the story does not depict fasting (ta'anit) as a religious ritual or practice.	מרוב צערו נרדם הבעש״ט ועלה ברעיונם של התלמידים אולי מקרה הוא ואפשר בחזיון לילה יגלו לו הדבר ובחלום ידבר בו. ויהי כי התעורר הבעש״ט משינתו ועדיין לא גילו לו שום דבר ונכפל להם הצער ברוב יגון ואנחה וכשבא חצות היום של עש״ק הא		
Khal-Hasidim_0169	Khal-Hasidim	embedding	0.964		False	high	The story focuses on prayer customs, respect for the grandchildren of the Baal Shem Tov, and a disciplinary action by R. Leib, but makes no mention of fasting or fast days.	"ם כבנו שתקו ממנו ולא אמרו לו דבר : ויהי כי נתיחמה לבב האיש הנ""ל ויכנוס להר""ר ר׳ ליב ויאמר לו לי אבי השמעת כי ברוך ואפרים מתכנים עצמם בשם הגדול רבי ומפרסמים שמם בעולם ולא ענהו הרב דבר אולם לעת תפילת ערבית קרא הרב לאיש אחר"		
Shivhei-Habesht_0060	Shivhei-Habesht	embedding	0.963		False	high	The story focuses on charity, humility, and avoiding worldly honor, but contains no mention of fasting or refraining from food as a religious practice.	ער א׳ ולא דיברה מאומה רק שעשתה תנועות כאילו אינו רוצה לקבלה ונתן לפניה עוד זעקסער ולא קיבלה אמר לה מי שמך לגבאי צדקה ולגנוב מקופת צדקה ולא השיבה כלום ולא הקפידה ע״ז ולא עשו בה הדברים הלז שום רושם מחמת שהיתה מחזקת במידות 		
Sipurei-Zadikim_0006	Sipurei-Zadikim	embedding	0.963		False	high	The story focuses on prayer customs, silence on Rosh Hashanah, and a conflict regarding the honor of Tzadikim; it does not mention fasting or fast days.	". אבל מחמת כי הוא נתגדל אצל רבם כבנו שתקו ממנו ולא אמר לו דבר : ויהי כי נתיחמה לבב האיש הנ""ל ויכנוס להר״ר ר׳ ליב ויאמר לו אבי השמעת כי ברוך ו אפרים מתכנים עצמם בשם הגדול רבי ומפרסמים ומפרסים שמם בעולם ולא ענהו הרב דבר. א"		
