story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt	should_tag	notes
Khal-Hasidim_0202	Khal-Hasidim	embedding	0.963		True	high	The story explicitly describes a Hasid traveling to visit the Shpola Zeyde to petition for a child, as well as his interaction with Rabbi Pinchas of Koritz during his travels.	 הקדוש הסבא קדישא כי יתפלל בעדו להשם ית' שיושיעהו בפרי בטן והצדיק הנזכר היה מדחה אותו בלך ושוב בכל יום פעם אמר לו כ כי יעשה סעודת מרעים להחסידים והמה יברכו אותו אולי יעלה בידם וכן עשה ולא הועילו לו מאומה ובכל פעם בואו לר		
Khal-Hasidim_0004	Khal-Hasidim	embedding	0.963		True	high	The story describes a group of Hasidim and the local Rabbi traveling to the Besht's village to request that he reveal himself and come to the city.	"י לפלא בעיניו ויהי בבוקר וילך לבית התבודדות להתפלל שם כדרכו ובבואו לביתו בא שמח וטוב לב בנשיאת ראש והלך בביתו אנה ואנה לומר אסדר לסעודתא ועשה קדושא רבא כדרכו בדביקות נפלא ובתוך הסעודה ביקש את האורח שיאמר ד""ת. ולא היה יוד"		
Khal-Hasidim_0253	Khal-Hasidim	embedding	0.962		False	high	The travel mentioned in the story involves the Rema returning from a professional trip and his friend feigning a trip to visit family; it does not depict a Hasid traveling to a Rebbe for spiritual guidance.	"לחה עשירית מזה כי תוכל ליקח את הרב הגדול ר""ח לחתן לך כי כן וכן הגיד לי ואנכי ידעתי כי יש לך בת בתולה הגונה וגם בית מיוחדת בחצר אך ספרים שאין לך לכ ע""כ ראה מה תעשה והזהר לא לגלות הדבר והי' זריז בזה כי יבא יום אשר יבא רבינ"		
Mifalot-HaZadikim_0027	Mifalot-HaZadikim	embedding	0.962		False	high	The story depicts the Baal Shem Tov and his disciples traveling together and getting lost, rather than a Hasid or petitioner making a pilgrimage to visit a Rebbe.	 להרוג אותם הוא רוצה והנה בתוך כך נפתחה דלת אחת מן החדרים המוסגרים החרבים ויצא משם אשם אחת עשירה ומקושטת ויגש לפני רום פני הבעש״ט זי״ע ואמר לו רבי אני מבקש מכם לשבות אצלי בשבת קודש ענה הבעש״ט ואמר שתי פליאות לי אחת האיך 		
Adat-Zadikim_0023	Adat-Zadikim	embedding	0.962		False	high	The story depicts a journey away from the Rabbi (R' Chaim's feigned departure for Prague) and the Rabbi's own return from travel, rather than a petitioner traveling to visit a Tzaddik.	" וגם בעת ההתקשרות היו רק שלשתם ולא ידע שום אדם מזה ויצוה הר""ח שילכו לביתם ויחכו עד עת מועד אחרי ביאת רבינו מדרכו ויראה איך יפול דבר : ויהי כבוא רבינו מדרכו וישאל לשלום חבירו וינשק לו ויראה אס את פניו זועפות ויאמר לו ידיד"		
Sipurei-Zadikim_0004	Sipurei-Zadikim	embedding	0.961		False	high	The travel depicted is the protagonist traveling to another city to pursue a marriage proposal based on the Rebbe's instructions, not a pilgrimage to visit the Rebbe himself.	פול טבעת אחת מידי האשה על הרצפה ותקח האשה נר אחת ותשחה על הארץ לחפשה. ומדי חפשה את הטבעת נכנס במרוצה הרב ר׳ ליב שרהס ויאמר לו הא לך הכסף המגיע לך ותקרע את השטר חוב שלי ותיכף יצא מהבית וילך האיש ללותו אבל הרב אמר לו שוב ל		
Maase-Zadikim_0016	maase-zadikim	embedding	0.961		True	high	The story explicitly describes a Hasid frequently traveling to visit the Shpola Zeyde to request a blessing for children, and later visiting Rabbi Pinchas of Koritz during a trip.	קדוש הסבא קדישא כי יתפלל בעדו השם ית' שיושיעהו בפרי בטן והצדיק הנזכר היה מדחה אותו בלך ושוב בכל יום פעם אמר לו כי יעשה סעודת מרעים להחסידים והמה יברכו אותו אולי יעלה בידם וכן עשה ולא הועילו לו מאומה ובכל פעם בואו לרבו הק		
Shivhei-Habesht_0002	Shivhei-Habesht	embedding	0.961		False		[error] Unterminated string starting at: line 4 column 16 (char 61)	"ץ ממון. וישב לו הנה אבי המנוח ז""ל הי' צדיק מפורסם וצוה עלו לפני הסתלקותו לישא אשה פה ק""ק אקום . ומוכרח אני לקיים כל דבריו. ומיד ותהום כל העיר שהיו לפניו כמה שידוכים ונשתדך עם נגיד א׳, כי נשא חן בעיני כל רואיו. ויהי אחרי "		
Mifalot-HaZadikim_0007	Mifalot-HaZadikim	embedding	0.96		True	high	The story explicitly describes a young man traveling to the city of Vasilkov to present his slaughtering knife to the Rabbi (Rabbi Yehoshua) for inspection and approval.	 זמן מה עד שתוכל לאמן ידך בלטישות הסכין היטב היטב. כי לפי דעתי עדיין לא הורגלת בזה כמצטרך ולא עלתה עדיין לימודך כראוי וכאשר שמע השו״ב הנ״ל מדברי הרב ר׳ יהושע תומ״י ציית לדבריו ונסע עוד הפעם להשוחט הנ״ל ללמוד א״ע היטב ללט		
Sipurei-Zadikim_0001	Sipurei-Zadikim	embedding	0.96		False	high	The story focuses on the Tzaddik's own miraculous travel and wandering to help others, rather than a Hasid or petitioner making a pilgrimage to visit him.	"יה פורע בזמנו. וכמה מעשיות יודע אני הכותב מזה ואם יגזור הש""י אוציאם כולם לאור ועל כן השערתי כי זאת היה עסקו גם ב בוניטש ): ויהי ביום ערב שבת קודש אחר חצות אחר שהלך הרב למקוה קרא את הנגיד הנ""ל ואמר לו שאלה אחת קטנה אשאל מ"		
Mifalot-HaZadikim_0006	Mifalot-HaZadikim	embedding	0.96		False	high	The travel depicted is either a relocation for livelihood or wandering as a beggar; it is not a Hasidic pilgrimage to visit or seek counsel from a Tzaddik.	שיוכל להפריז עבורם ממונו ורכושו להאכילם ולהשקות׳ ותורה יבקשו מפיהו ואפילו אנשי ביתו לא זכרו מענין הזקן הנ״ל ושכחוהו ויהי לפלא בעיניהם. רק עלה במחשבתם אין זה כ״א מרוב ענותנותו ענותונותו דמר וברצונו להחזירו למוטב עושה כן. 		
Shivhei-Habesht_0193	Shivhei-Habesht	embedding	0.96		False	high	The encounter occurs because the Baal Shem Tov was visiting the man's community and summoned him from the street, rather than the man traveling to seek out the Tzaddik.	"Shivhei-Habesht_0193 תיוגים* פ""א הי' הבעש״ט באיזה קהילה והי׳ אכסניאותו על העלי' : פעם א׳ ראה איש א׳ עובר על הרחוב מיד צוה להמשרת שלו רוץ מהר וקרא לי את האיש הזה וירץ הנער ויקרא לו ומתחילה נתפעם לבו ולא רצה לילך ועכ״ז לא "		
Khal-Hasidim_0218	Khal-Hasidim	embedding	0.96		True	high	The story describes the deliberate journey of R' Israel Politsker and R' Azriel to Mezeritch specifically to meet and learn from the Maggid.	"תמהמהו יתמהמו פה על המשתה אשר יעשה להם ואח״כ יתן להם מסת נדבת ידו כי חשב כי המה נוסעים לקבץ כסף ונתרצה לו הרר""י וימתינו עד הסעודה והאנשים הקרואים על המנין ג""כ היו שם ויתבוננו כולם אודות האנשים ההם כי המה ראו חדשות אשר לא"		
Khal-Hasidim_0173	Khal-Hasidim	embedding	0.96		False	high	The story describes an informer's spiritual repentance during a trip to a local lord and a subsequent halakhic inquiry to a local rabbi, but it does not depict the specific Hasidic practice of making a pilgrimage to a Rebbe.	ל אשר עשה עד כה וכאשר נתייגע בזה מעט אז כמו נד נצבו לפניו כל העבירות שעשה מעודו. ויתמהמה מאוד ויעמוד הרבה ולא היה יכול לומר סלח לנו. עד כי נתחרט מאוד על כל מה שעשה וקבל עליו לעזוב חטאיו על להבא ועתה ישוב לביתו תיכף ולא י		
