story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt	should_tag	notes
Mifalot-HaZadikim_0026	Mifalot-HaZadikim	embedding	0.966		True	high	The story features a lengthy internal narrative where a protagonist recounts his experiences with previous tzaddikim to Rabbi Israel of Ruzhin.	וא נסתר ובאתי לפניו ואמרתי לו רבי למדיני אורחות חיים וכששמע זאת אז מילא פיו בצחוק והיתול ואמר להעומדים עליו השמעתם איש שוטה הזה קורא לי רבי ורוצה להיות בחברתינו הצריכים אנחנו לשוטים כאלו אז ענו כולם בצחוק והיתול ובאמת לא		
Khal-Hasidim_0004	Khal-Hasidim	embedding	0.965		False		[error] Unterminated string starting at: line 4 column 16 (char 61)	"י לפלא בעיניו ויהי בבוקר וילך לבית התבודדות להתפלל שם כדרכו ובבואו לביתו בא שמח וטוב לב בנשיאת ראש והלך בביתו אנה ואנה לומר אסדר לסעודתא ועשה קדושא רבא כדרכו בדביקות נפלא ובתוך הסעודה ביקש את האורח שיאמר ד""ת. ולא היה יוד"		
Adat-Zadikim_0023	Adat-Zadikim	embedding	0.964		False	high	The text is a hagiographic narrative about the Rema and Rabbi Chaim, but it does not depict characters within the story engaging in the act of storytelling.	"פחתיך ואתה יקר בעיני מעשרה בנים ומה אתה חסר עמדי על כן תניח מלדבר דברים כאלו ולעגם את נפשי כי כל ימי חיי לא אניחך להפרד מאתי ויבך גם הר""ח ויחשה ולא ענהו מאומה. ובמשך זמן מועט אמר לו אדוני חבירי אל נא תרבה תדבר אלי עוד בד"		
Khal-Hasidim_0218	Khal-Hasidim	embedding	0.963		True	high	The text explicitly depicts R. Israel Politzker telling the Gaon of Vilna about the 'wonders' (miraculous stories/deeds) he witnessed in Mezeritch.	"תמהמהו יתמהמו פה על המשתה אשר יעשה להם ואח״כ יתן להם מסת נדבת ידו כי חשב כי המה נוסעים לקבץ כסף ונתרצה לו הרר""י וימתינו עד הסעודה והאנשים הקרואים על המנין ג""כ היו שם ויתבוננו כולם אודות האנשים ההם כי המה ראו חדשות אשר לא"		
Khal-Hasidim_0253	Khal-Hasidim	embedding	0.963		False	high	While the text is framed as a story being told by the narrator, there is no depiction of characters within the story actually engaging in the act of storytelling.	"לחה עשירית מזה כי תוכל ליקח את הרב הגדול ר""ח לחתן לך כי כן וכן הגיד לי ואנכי ידעתי כי יש לך בת בתולה הגונה וגם בית מיוחדת בחצר אך ספרים שאין לך לכ ע""כ ראה מה תעשה והזהר לא לגלות הדבר והי' זריז בזה כי יבא יום אשר יבא רבינ"		
Mifalot-HaZadikim_0006	Mifalot-HaZadikim	embedding	0.963		False		[error] Expecting value: line 4 column 15 (char 60)	 ועתה טוב לי מאז כי הוא הכה אותי תמיד ועתה כשהוא מת ואמי ג״כ מתה וביתו נשרף והונו ורכושו נאבד טוב לי מאוד כי יכול אני לילך בשרירות לבי ואין מוחה בידי ונתחברתי אל העניים המסבבים וסבותי גם אני עליהם לשקוד על פתחי נדיבים לב		
Shivhei-Habesht_0014	Shivhei-Habesht	embedding	0.962		False	high	The story depicts a merchant reporting personal events to the Besht, but it does not depict the specific Hasidic practice of telling hagiographic stories about tzaddikim.	ך לעירינו א׳ פרסה ולא האמין ולדבריו כי האיך יוכל להיות כך כי הלא לא נעלם מבנו רב הגעגועים שלהם וכמים הפנים וכ׳ בוודאי אין כסף נחשב למאומה ויתן בעד פור כור מה שיבקשו בכדי שיבא על שבת לביתו עכ״ז לרווחא דמילתא שלח ערל א׳ לכ		
Khal-Hasidim_0169	Khal-Hasidim	embedding	0.962		True	high	The text explicitly depicts the Hasidim gathering after Tashlich to tell and discuss (using the verbs סיפרו and וישיחו) the greatness and emerging fame of R. Baruch and R. Ephraim.	"ם כבנו שתקו ממנו ולא אמרו לו דבר : ויהי כי נתיחמה לבב האיש הנ""ל ויכנוס להר""ר ר׳ ליב ויאמר לו לי אבי השמעת כי ברוך ואפרים מתכנים עצמם בשם הגדול רבי ומפרסמים שמם בעולם ולא ענהו הרב דבר אולם לעת תפילת ערבית קרא הרב לאיש אחר"		
Peer-MiKdoshim_0007	PeerMikdoshim	embedding	0.962		False	high	The story depicts a confrontation and a supernatural revelation of secret thoughts by the Tzaddik, rather than the act of storytelling as a practice within the narrative.	ום יום יותר ויותר וכנחל נובע פרצו דברו החסיד בחכמה ועד כי התנשא זה לעומת זה בדבריו' ענהו הגביר אם כן איפוא בא ואראך כי שקר נחלו כל החסידים ומאומה לא ידע הרבי ולאות נאמן התבונן מהר כי אתה הוא ששמעת בעצמך נאצות וגידופים על		
Shivhei-Habesht_0193	Shivhei-Habesht	embedding	0.962		False	high	The story describes the Besht diagnosing a sin and prescribing penance, but it does not depict the act of storytelling as a practice within the narrative events.	"Shivhei-Habesht_0193 תיוגים* פ""א הי' הבעש״ט באיזה קהילה והי׳ אכסניאותו על העלי' : פעם א׳ ראה איש א׳ עובר על הרחוב מיד צוה להמשרת שלו רוץ מהר וקרא לי את האיש הזה וירץ הנער ויקרא לו ומתחילה נתפעם לבו ולא רצה לילך ועכ״ז לא "		
