story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt	should_tag	notes
Khal-Hasidim_0014	Khal-Hasidim	lexical	0.972	שחיטה שוחט שחט סכין	True	high	Shechita depicted: knife inspection / learning shechita / slaughtering.	ם פודליסקער צדיק גדול ומפורסם פ״א לא היטב בעיניהם שום סכין לשחיטה ושלחו אחר כמה שוחטים מבמה קהילות ולא יכלו להעמיד להם סכין שיוטב בעיניהם. פ״א בא הבעש״ט להם ואמר חביב עלינו האורח עד מאוד אבל אין לנו במה לכבדו וסיפרו לו כ		
Shivhei-Habesht_0172	Shivhei-Habesht	lexical	0.935	שוחט סכין	True	high	Shechita depicted: knife inspection / learning shechita / slaughtering.	נשים בביתם ורצתה לעשות סעודה ואמ׳ שצריך לראות הסכין והוצרך השוחט לבוא ולהראות לו הסכין ולאנשי העיר חרה עד מאד איך מלאו לבו לראו' הסכין אצל שוחט דמתא ובפרט בקהילה גדולה אבל לא יכלו לעשות לו מאומה כי הנגידה צוותה כן ובמנחה		
Shivhei-Habesht_0138	Shivhei-Habesht	lexical	0.932	שוחט	False	medium	A shochet is mentioned as host/character/profession; shechita act not depicted (definitional Q for PI).	"ב שהלך בדרך ובא לק""ק איספאלי ועדיין הי׳ כפר והוא התאכסן אצל שוחט ושמעו שבא הרב ר׳ מאיר הרב דגולה והלכתי להקביל פניו וביקש את הרב מ׳ זעליג שישב בכאן כמה ימים עד שיתאספו כל בני הכפרים למשפט ויהי׳ לו לצוותא והי׳ יושב אצל הר"		
Khal-Hasidim_0089	Khal-Hasidim	lexical	0.928	שוחט	False	medium	A shochet is mentioned as host/character/profession; shechita act not depicted (definitional Q for PI).	"ב שהלך בדרך ובא לק""ק איספאלי ועדיין הי' כפר והי׳ מתאכסן אצל שוחט ושמעו שבאהרב ר׳ מאיר הרב דגולה והלכתי להקביל פניו וביקש את הרב מ' זעליג שישב בכאן כמה ימים עד שיאספו כל בני הכפרים למשפט ויהי' לו לצוותא והי' יושב אצל הרב "		
Khal-Hasidim_0124	Khal-Hasidim	lexical	0.928	שוחט שחט סכין	True	high	Shechita depicted: knife inspection / learning shechita / slaughtering.	 זאת תדע כי לא אטעום על הסעודה מבשר הזבח אולם כאשר יראה לי השוחט סכינו אז אטעום. ויסעו שניהם יחדיו ויבואו ל בראד . וילך הרב מ לוצק ויספר לאוהביו הגאונים ר' חיים צאנזיר ולר' משה אויסטריער את כל דברי הבעש״ט ויצו עליו שישלח		
Shivhei-Habesht_0100	Shivhei-Habesht	lexical	0.928	שוחט שחט	False	medium	A shochet is mentioned as host/character/profession; shechita act not depicted (definitional Q for PI).	"תיוגים* פ""א נסע הבעש״ט לקאמינקע וסמוך לעיר שמע כרוז להעביר השוחט דק""ק הנ""ל ואמר אעבירנו ואעמוד לו איזה פרנס׳ כי הי׳ זהיר מאד לקפח פרנסת כל אדם וכשבא לבית ר׳ ברוך הכין ר' ברוך א""ע ושחט כמה בהמות ובהמה אחת נטרפה ותלה בפרוז"		
Khal-Hasidim_0062	Khal-Hasidim	lexical	0.927	שחיטה שוחט שחט סכין טריפה	True	high	Shechita depicted: knife inspection / learning shechita / slaughtering.	"העדים שיהיו עמו בעת אשר ישחוט ויבדוק כדת אבל מדי לכתו לבית השחיטה דפק את הסכין בהסטראקעס של הקאפטין שלו. למען נסות את הבעש""ט אם יכיר אם לא ואח״כ לסעודת ליל ש״ק באו כל חשובי העיר ואחרי אשר עשה הבעש""ט קידוש כדרכו וזמרו זמי"		
Adat-Zadikim_0010	Adat-Zadikim	lexical	0.927	שחיטה שוחט שחט סכין טריפה	True	high	The story's plot centers on the Baal Shem Tov inspecting a slaughterer's knife and identifying meat as non-kosher (nevelah) due to improper ritual slaughter.	"עדים שיהיו עמו בעת אשר ישחוט ויבדוק כדת, אבל מדי לכתו לבית השחיטה דפק את הסכין בהסטראקעס של הקאפטין שלו, למען נסות את הבעש״ט אם יכיר אם לאו ואח""כ לסעודת ליל ש""ק באו כל חשובי העיר ואחרי אשר עשה בעש״ט קידוש כדרכו וזמרו זמי"		
Sipurei-Zadikim_0007	Sipurei-Zadikim	lexical	0.926	שחיטה שוחט סכין	True	high	The story explicitly describes the protagonist learning ritual slaughter, sharpening knives, working as a shochet for eighteen months, and an incident involving a professional examination of his slaughtering knife.	רי ואשתו לילך להשקות בהמותיו וכהנה. וע״כ למד את עצמו מלאכת השחיטה ובמשך שלשה חדשים למד השחזת הסכין כאומן נפלא ובהדינים היה בקי מאוד אבל לא רצה להיות שוחט ובודק באחת העיירות הגדולות וע״כ נעשה שוחט ובודק בכפר והיה עושה מלא		
Shivhei-Habesht_0170	Shivhei-Habesht	lexical	0.925	שוחט	False	medium	A shochet is mentioned as host/character/profession; shechita act not depicted (definitional Q for PI).	"שית אצל הרב ר' משה אב""ד דק""ק קוטיב והיו מאחרים בתוך הלילה והשוחט הי' מאנשי החבורה וישב ג״כ שם ובא קצב אחד ושמו ליב המכונ' ליב גליץ וקרא את השוחט לשחו' פע' ושתים ושלש ולא רצה השוחט לילך כי תאב לשמוע דברי אלקים חיים וזה הי"		
