story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt	should_tag	notes
Mifalot-HaZadikim_0026	Mifalot-HaZadikim	embedding	0.961		True	high	The story depicts the recitation of secret Torah with 'great enthusiasm' (hitlahavut) and melody in a secluded room, representing a state of mystical communion.	וא נסתר ובאתי לפניו ואמרתי לו רבי למדיני אורחות חיים וכששמע זאת אז מילא פיו בצחוק והיתול ואמר להעומדים עליו השמעתם איש שוטה הזה קורא לי רבי ורוצה להיות בחברתינו הצריכים אנחנו לשוטים כאלו אז ענו כולם בצחוק והיתול ובאמת לא		
Mifalot-HaZadikim_0021	Mifalot-HaZadikim	embedding	0.96		False		[error] Unterminated string starting at: line 4 column 16 (char 63)	ררותו בתשובה נכונה ויעזוב את העגלות עם היי״ג הנ״ל ביד ערלים הנ״ל המובילים אותו וינס ויצא לרבו הנ״ל מ מעזיבוז . והגם שהיה דבר זה סכנה שיפסוד ח״ו כל היין הן אפשר שיכחישו לו הערלים ויאמרו להד״ם או לפחות יפסיד אותו מחמת ניסו		
Khal-Hasidim_0026	Khal-Hasidim	embedding	0.959		True	high	The story describes the Baal Shem Tov in states of profound mystical ecstasy and physical trembling during prayer, explicitly noting he was 'not in this world' and had the 'Shekhinah' resting upon him.	"פעמים ואח״כ רמז שילכו להתפלל לפני התיבה ובא ר' דוד הנ""ל להתפלל כי הוא היה מתפלל בימים נוראים וכשבא סמוך לתיבה התחיל הבעש״ט לבזותו בפני כל עם ועדה ואמר בזה הלשון זקן אשמאי היכן אתה הולך וביזה וגינה אותו ערך חצי שעה והיה ר"		
Shivhei-Habesht_0207	Shivhei-Habesht	embedding	0.958		True	high	The story describes the Besht's final moments as an intentional act of communion with God, specifically mentioning his desire to 'talk a little more with the Blessed Name' and his intense mystical focus.	"סגולתו לנעור כל הלילה כתקון האר""י ז""ל ואמר לפניהם ד״ת על ענין הסדר וענין מ״ת בבקר שלח לאנשי סגולתו שיתאספו כולם וצוה לר׳ ליב קעסלר ועוד א׳ שכחתי שמו שיתעסקו בקבורתו ולימד ולמד אותם על גופו על כל אבר הראה להם סימנים איך נ"		
Mifalot-HaZadikim_0027	Mifalot-HaZadikim	embedding	0.958		False	high	The story focuses on the Baal Shem Tov's temporary loss of his spiritual faculties (mochin) as a punishment, rather than depicting or teaching the practice of mystical communion.	מרוב צערו נרדם הבעש״ט ועלה ברעיונם של התלמידים אולי מקרה הוא ואפשר בחזיון לילה יגלו לו הדבר ובחלום ידבר בו. ויהי כי התעורר הבעש״ט משינתו ועדיין לא גילו לו שום דבר ונכפל להם הצער ברוב יגון ואנחה וכשבא חצות היום של עש״ק הא		
Shivhei-Habesht_0015	Shivhei-Habesht	embedding	0.958		True	high	The story describes the Besht in intense states of ecstatic prayer where he is 'not in this world,' physically trembling from the Divine Presence, and experiencing mystical communion (devekut).	" בו כי אינו בזה העולם וכשלבש הקיטיל נקמט הקיטיל על כתיפיו ואחז המ״מ הגדול בקיטיל לפושטו מקמיטתו וכשנגע התחיל לרעוד ואחז בשולחן שהי׳ שם וגם השולחן התחיל לרעוד עמו ו הבעש״ט הלך עד שהוצרך להתפלל ולבקש מן השי""ת שיקח ממנו דבר"		
Shivhei-Habesht_0135	Shivhei-Habesht	embedding	0.958		False	high	The story focuses on the Besht's intense fear of Sabbath desecration and his supernatural punishment/correction of an arrogant scholar, rather than depicting mystical union or communion with God.	"וף השולחן וגער בו הבעש״ט בזה""ל אני שונא ענוותן בא ושב בכאן והתחיל הרב להחזיר הדרשה ורבי מיכל מקשה ורבי זאב מפלפל עמו עד שנצחו והיה רבי מיכל בוש בדבר ועמד על זה אע""פ שהי׳ עקום ולא רצה להודות על האמת התחיל הבעש״ט לבקש ואמ׳"		
Khal-Hasidim_0082	Khal-Hasidim	embedding	0.957		False		[error] Unterminated string starting at: line 4 column 16 (char 60)	"ה על מטתה ו הבעש״ט עדיין שוכב על הארץ בפישוט ידים ורגלים ועמד ר' דוד הנ""ל אצל הפתח לראות מה יהי' הסוף ונתיגע לעמוד ולקח ספסל וישב אצל הפתח וכמו חצי לילה שמע שאמר לאשתו תכסה פניך וברגע האיר בחדר והיה מאיר דרך סדקים ואמר ב"		
Shivhei-Habesht_0197	Shivhei-Habesht	embedding	0.957		True	high	The story describes the Besht in a state of intense mystical communion, performing 'Yichudim' (unifications) with his face 'burning like torches', which is a classic depiction of the state of devekut.	"Shivhei-Habesht_0197 תיוגים* מעשה הי' שהרב המוכיח מוה' ארי׳ ליב מפולנאה חשקה נפשו מאוד ללמוד חכמת שיחת בהמות ועופות ושיחת דקלים מצד שנצרך לו זה לתוכחה ומאחר שהיה כוונתו לש""ש נגמר בדעתו ליסע ל הבעש״ט ולבקש ממנו שילמד אותו"		
Khal-Hasidim_0202	Khal-Hasidim	embedding	0.957		True	high	The story explicitly describes the Shpoler Zeide as 'דבוק ברעיונותיו בדברים עליונים' (cleaving in his thoughts to higher matters) during his encounter with the Hasid.	 הקדוש הסבא קדישא כי יתפלל בעדו להשם ית' שיושיעהו בפרי בטן והצדיק הנזכר היה מדחה אותו בלך ושוב בכל יום פעם אמר לו כ כי יעשה סעודת מרעים להחסידים והמה יברכו אותו אולי יעלה בידם וכן עשה ולא הועילו לו מאומה ובכל פעם בואו לר		
