story_id	tag	opus_applies	opus_confidence	verdict	opus_reasoning
Adat-Zadikim_0001	folkloristics:story_type_revelation	False	medium	REJECT	Story centers on a hidden righteous man (R. Shabtai) whose Sabbath joy is revealed by the Besht to his disciples, plus prophecy of the Maggid's birth — fits revelation of a hidden tzaddik.
Adat-Zadikim_0002	supernatural:perception	True	high	CONFIRM	The Baal Shem Tov supernaturally foreknows the future poverty of the host and the pregnancies/genders of the parnasim's wives, classic ruach hakodesh.
Adat-Zadikim_0003	spaces:beth_midrash	True	high	CONFIRM	The Baal Shem Tov sits all day in the beit midrash on erev Pesach, making it an actual setting in the story.
Adat-Zadikim_0004	folkloristics:story_type_prognostication	True	high	CONFIRM	The Besht predicts he will reach Berlin by Shabbat and that the child will live—both predictions are fulfilled.
Adat-Zadikim_0004	social:inter_hasidic	False	high	REJECT	Story features the Besht with disciples and non-Hasidic figures (innkeeper, sorcerer, wedding party); no depiction of interaction among Hasidim as peers.
Adat-Zadikim_0004	spaces:beth_midrash	False	high	REJECT	No study hall setting; story takes place on the road, at an inn, a wedding, cemetery, and a field.
Adat-Zadikim_0006	characters-and-roles:preacher	False	high	REJECT	No maggid/preacher character appears; the story features a tzaddik (R. Michel of Zlotchov), a wealthy man, and a soldier.
Adat-Zadikim_0007	ethics-and-emotions:lying	False	high	REJECT	The rabbi disguises himself to test the innkeeper, but this is a brief incidental disguise, not a deception central to the story; no clear lying act depicted.
Adat-Zadikim_0007	social:relations_with_non_jews	False	high	REJECT	Story involves a Jewish tavern-keeper (arendar) and the Rabbi of Apta; no non-Jews are depicted.
Adat-Zadikim_0007	supernatural:perception	True	high	CONFIRM	The Rebbe of Apta tests the man and claims he can know all his deeds from birth, and the man's blessings are supernaturally fulfilled — implying ruach hakodesh perception.
Adat-Zadikim_0008	ethics-and-emotions:lust	False	high	REJECT	Story concerns storytelling, repentance, and a bishop's return to Judaism; no theme of lust/desire (תאוה).
Adat-Zadikim_0008	spaces:beth_midrash	False	high	REJECT	No study hall setting; scenes occur in Besht's home, a wealthy man's house/synagogue, and a city square.
Adat-Zadikim_0009	folkloristics:story_type_prognostication	True	high	CONFIRM	The Baal Shem Tov prophesies that David will know himself when his exile ends, and this prediction comes true when heavenly voices reveal his identity.
Adat-Zadikim_0012	ethics-and-emotions:fear	True	high	CONFIRM	Story explicitly depicts fear: the boy weeps in fear after the Maggid's rebuke, the Baal Shem Tov tells him 'אל תפחד', followers 'חרדו מאוד' fearing R. Yaakov Yosef's punishment, and R. Mendel reassures people 'אל תפחדו'.
Adat-Zadikim_0013	folkloristics:story_type_prognostication	False	high	REJECT	Story depicts a tzaddik's miraculous revelation of adultery via summoning the dead, not a prophecy/prediction that comes true.
Adat-Zadikim_0013	folkloristics:story_type_revelation	True	high	CONFIRM	The story explicitly narrates how R. Avraham Yehoshua Heshil of Apta was a hidden tzaddik unknown to the people of Yassi, and the miracle with the dead witness revealed his true stature ('then the people of Yassi knew who the Rav was').
Adat-Zadikim_0013	social:inter_hasidic_master_disciple_relationship	False	high	REJECT	Story depicts a rebbe exposing adultery in his community; no master-disciple relationship is portrayed.
Adat-Zadikim_0013	social:marital_relationship	True	high	CONFIRM	The story depicts the rabbi and his wife (the rebbetzin) interacting as a couple, and centrally features the gvir and his unfaithful wife's marriage, ending in divorce.
Adat-Zadikim_0013	spaces:beth_midrash	False	high	REJECT	Story takes place in the rabbi's home, the community council house, fishmongers' market, and synagogue — no beit midrash/yeshiva setting depicted.
Adat-Zadikim_0013	spaces:institutions_hassidic_court	False	high	REJECT	Story is set in the rabbi's home and communal meeting house in Yassi, not a hasidic court (chatzer ha-tzaddik).
Adat-Zadikim_0014	ethics-and-emotions:fear	True	high	CONFIRM	The living man trembles (ויחרד) with fear when summoned to judgment by the dead, fearing his impending death.
Adat-Zadikim_0014	folkloristics:story_type_rapprochement	False	high	REJECT	Story is about a halakhic/moral dispute adjudicated by the Maharsha, not about an outsider being drawn close to a tzaddik or Hasidism.
Adat-Zadikim_0014	social:inter_hasidic_master_disciple_relationship	False	high	REJECT	Story involves a rabbi (Maharsha) judging a case, not a Hasidic rebbe-disciple relationship.
Adat-Zadikim_0014	spaces:beth_midrash	True	high	CONFIRM	The Maharsha designates a spot in the beit midrash for the judgment between the living man and the dead.
Adat-Zadikim_0015	characters-and-roles:preacher	True	high	CONFIRM	The Maggid of Kozhnitz is a central character explicitly titled as maggid (preacher).
Adat-Zadikim_0015	ethics-and-emotions:anger	True	medium	CONFIRM	The brother angrily rebukes the visitor, accusing him of mocking him and reminding him of his dead sister.
Adat-Zadikim_0015	ethics-and-emotions:fear	False	medium	REJECT	No explicit fear depicted; story centers on childlessness, broken engagement, and reconciliation.
Adat-Zadikim_0015	folkloristics:story_type_rapprochement	False	high	REJECT	The protagonist is already a devoted Hasid of the Maggid; no outsider/skeptic is drawn close.
Adat-Zadikim_0015	spaces:beth_midrash	False	high	REJECT	No study hall setting; story takes place in homes, on the road, at a fair, and in an inn.
Adat-Zadikim_0017	experience:revelation	True	high	CONFIRM	The tzaddik Gorde experiences a mystical revelation seeing the Maggid suspended three cubits in the air and overwhelming spiritual sweetness during prayer.
Adat-Zadikim_0017	social:relations_with_non_jews	True	high	CONFIRM	Story centrally involves the King of Prussia and his non-Jewish royal doctor who heals the Jewish protagonist.
Adat-Zadikim_0017	supernatural:miracle	True	high	CONFIRM	The story depicts a clear miraculous healing — the dying man recovers without medicine after the doctor (accompanied by angel Rafael, per the Maggid's prophecy) enters, a discrete supernatural before/after event.
Adat-Zadikim_0017	supernatural:prognostication	True	high	CONFIRM	The Maggid of Mezeritch tells the visitor about the doctor and angel Raphael, a prediction that comes true months later when the king's doctor heals him without medicine.
Adat-Zadikim_0018	ethics-and-emotions:awe	True	medium	CONFIRM	The story depicts awe-inspiring revelation of the Baal Shem Tov's greatness — house filled with light, visible angels — evoking religious awe of the tzaddik.
Adat-Zadikim_0022	times:inauguration	True	high	CONFIRM	Story depicts Rema's acceptance and installation as rabbi/leader of Krakow community.
Adat-Zadikim_0023	social:inter_hasidic_master_disciple_relationship	False	high	REJECT	Story concerns two pre-Hasidic rabbinic colleagues (Rema and R. Chaim) and Elijah, not a Hasidic rebbe-disciple relationship.
Adat-Zadikim_0023	social:marital_relationship	True	high	CONFIRM	The story depicts Rabbi Chaim's marriage arrangement and his married life with the baker's daughter, noting she is a kosher wife who does her husband's will.
Adat-Zadikim_0023	spaces:beth_midrash	False	medium	REJECT	Story depicts study in a private house/room arranged by R. Chaim, courtroom, and baker's house—not a beit midrash or yeshiva setting.
Adat-Zadikim_0023	spaces:institutions_hassidic_court	False	high	REJECT	Story concerns Rabbi Moshe Isserles and R. Chaim, a pre-Hasidic rabbinic setting; no hasidic rebbe's court depicted.
Khal-Hasidim_0001	social:inter_hasidic	False	high	REJECT	Story is the Baal Shem Tov's birth/childhood narrative; no interaction among Hasidim depicted.
Khal-Hasidim_0001	social:inter_hasidic_master_disciple_relationship	False	high	REJECT	The story narrates the Besht's origins and childhood; no rebbe-disciple relationship is depicted.
Khal-Hasidim_0001	spaces:beth_midrash	True	high	CONFIRM	The story explicitly mentions the Baal Shem Tov becoming a guardian of the beit midrash, where he would study while others slept.
Khal-Hasidim_0002	spaces:institutions_hassidic_court	False	high	REJECT	No depiction of a rebbe's court; settings are emperor's court, beit midrash, wilderness — pre-Besht biography.
Khal-Hasidim_0004	spaces:beth_midrash	False	high	REJECT	Settings are a hut of seclusion, the rabbi's house, a village home, and a forest—no beit midrash/yeshiva depicted.
Khal-Hasidim_0009	times:shabbat	False	medium	REJECT	Shabbat is mentioned only incidentally (he came home on erev Shabbat); the story centers on the Besht's revelation, not Shabbat.
Khal-Hasidim_0017	characters-and-roles:the_family_of_the_tsaddik	False	high	REJECT	The tzaddik (Baal Shem Tov) appears, but his own family members do not; the wife and children mentioned belong to the poor scholar, not the tzaddik.
Khal-Hasidim_0034	times:shabbat	True	high	CONFIRM	The Besht stays in Zaslav over several Shabbatot, and key action occurs 'after Shabbat in the middle of the day.'
Khal-Hasidim_0035	ethics-and-emotions:anger	True	high	CONFIRM	The story explicitly attributes Shabtai Tzvi's fall to 'גדלות וכעס' (arrogance and anger), and depicts the Besht being humiliated/angered enough to accept death and vow revenge.
Khal-Hasidim_0035	folkloristics:story_type_prognostication	True	high	CONFIRM	The Besht predicts the death of R. Eliezer, the fate of his wife, the killing of his opponents by Ishmaelites, and the printing of a heretical book—all of which come true.
Khal-Hasidim_0035	social:retrospective_recognition	True	high	CONFIRM	The rabbi belatedly discovers the book on his table is the forbidden Sabbatean Chemdat HaYamim when the Besht recognizes it; also retrospective recognition of the cause of death (insult by two men).
Khal-Hasidim_0035	times:shabbat	True	high	CONFIRM	Story explicitly centers on the Besht's Shabbat in Sharigrad and his Motzaei Shabbat revelations after Havdalah.
Khal-Hasidim_0036	ethics-and-emotions:lust	False	high	REJECT	Story concerns repentance, storytelling, and a bishop's return to Judaism; no lust/desire theme.
Khal-Hasidim_0036	spaces:beth_midrash	False	high	REJECT	No study hall setting; scenes occur in homes, roads, and a synagogue, not a beit midrash.
Khal-Hasidim_0045	ethics-and-emotions:fear	True	high	CONFIRM	The story explicitly describes R. David's fear (ויחרד לב הרר״ד... כי הוא ירא) regarding his standing before the Baal Shem Tov.
Khal-Hasidim_0045	ethics-and-emotions:virtues	True	high	CONFIRM	Story explicitly illustrates virtues (humility, self-blame, acceptance of exile) and ends with explicit moral lesson about weighing reward against loss and not judging hastily.
Khal-Hasidim_0045	experience:revelation	True	high	CONFIRM	The Baal Shem Tov reveals to R. David the hidden mystical reason (a 70-year-old soul awaiting tikkun) for his delay, and a heavenly voice/revelation discloses his innocence and the true culprit.
Khal-Hasidim_0045	social:conflict	True	high	CONFIRM	The story depicts conflict between R. David and the wicked preacher who frames him and orders him beaten.
Khal-Hasidim_0045	supernatural:communicating_with_the_invisible	True	high	CONFIRM	The Baal Shem Tov reveals that a soul from 70 years ago was awaiting tikkun, and a heavenly voice ('from heaven they told me') knocks on windows calling R. David's name.
Khal-Hasidim_0045	supernatural:prognostication	True	high	CONFIRM	The Baal Shem Tov predicts that R. David will know on his own when his exile ends, which comes true.
Khal-Hasidim_0047	social:retrospective_recognition	False	medium	REJECT	The story shows discovery of an anonymous benefactor in real time (via the shamash watching), not a belated realization that someone was secretly righteous or had hidden identity.
Khal-Hasidim_0047	spaces:heaven	True	high	CONFIRM	The deceased's soul reports its resting place in Gan Eden among the righteous and describes being elevated to upper worlds, depicting heaven as a setting.
