story_id	edition	claude_category	claude_collective	claude_confidence	claude_reasoning	gemini_category	gemini_collective	gemini_confidence	gemini_reasoning	agreement	human_category	human_collective	run_timestamp	criteria_hash
Khal-Kdoshim_0001	Khal-Kdoshim	mention-only	False	high	The young man's wife, father-in-law, and mother-in-law are referenced only as people he sneaked away from ('התגנב לברוח מאשתו וחותנו וחמותו'); none of them appear, act, speak, or are depicted in any scene. They function purely as contextual background explaining why the man left home.					partial	no-women	False	2026-05-07T03:29:04Z	b29ac49a
Maase-Zadikim_0008	maase-zadikim	no-women	False	high	The story features only male characters — Reb Zisha, Reb Elimelech, the Maggid of Mezeritch, an unnamed craftsman, the king, and the king's son. No women appear or are referenced in any way. The quoted verse 'באהבתה תשגה מאד' uses a feminine form but refers allegorically to divine love, not to any female character in the narrative.					partial	no-women	False	2026-05-07T03:29:24Z	b29ac49a
Khal-Hasidim_0139	Khal-Hasidim	no-women	False	high	The story concerns the relationship between Rabbi Dov Ber of Mezeritch and the Baal Shem Tov — their meeting, a kabbalistic test, and Dov Ber's decision to become the Besht's disciple. No women appear or are referenced in any capacity.					partial	no-women	False	2026-05-07T03:29:30Z	b29ac49a
Adat-Zadikim_0017	Adat-Zadikim	mention-only	True	high	The only women in the story are the doctor Garde's unnamed mistresses ('נשים אהובות לו'), referenced collectively as background context for his dissolute lifestyle and then dismissed one by one as he repents — they neither speak, act, nor appear in any depicted scene as individuals. They function purely as moral backdrop to illustrate the protagonist's spiritual transformation.					partial	no-women	False	2026-05-07T03:29:54Z	b29ac49a
Khal-Hasidim_0248	Khal-Hasidim	no-women	False	high	The story features only male characters — Rabbi Shalom of Belz, the innkeeper, and the Rabbi of Strelisk — with no women mentioned or referenced in any way.					partial	no-women	False	2026-05-07T03:29:59Z	b29ac49a
Khal-Hasidim_0221	Khal-Hasidim	no-women	False	high	The story involves only male characters throughout — Rabbi Levi Yitzhak, Rabbi Uziel Meizels, Rabbi Elimelech of Lizhensk, the Maggid of Mezeritch, and a coachman — with no women mentioned, referenced, or implied in any role.					partial	no-women	False	2026-05-07T03:30:06Z	b29ac49a
Khal-Hasidim_0205	Khal-Hasidim	no-women	False	high	The story features only male characters throughout — rabbis, a cantor, a wealthy host, guards, and congregants — with no women appearing, referenced, or mentioned in any capacity.					partial	no-women	False	2026-05-07T03:30:11Z	b29ac49a
Khal-Hasidim_0146	Khal-Hasidim	mention-only	True	high	The doctor's mistresses ('האהובות') are referenced as an anonymous group that he habitually travels with and then dismisses one by one on his way to Mezeritch — they serve purely as backdrop illustrating his moral state and subsequent repentance, with no individual action, speech, or depicted scene. No other women appear or are referenced.					partial	no-women	False	2026-05-07T03:30:30Z	b29ac49a
Khal-Hasidim_0107	Khal-Hasidim	no-women	False	high	The story involves only male characters — the Baal Shem Tov, Rabbi Moharan, a Jewish innkeeper, and a servant — with no women appearing or referenced in any way.					partial	no-women	False	2026-05-07T03:30:36Z	b29ac49a
Shivhei-Habesht_0138	Shivhei-Habesht	no-women	False	high	The story involves only male characters — R' Zelig, R' Meir, the Besht, two men, and the innkeeper — with no women mentioned, referenced, or implied in any way.					partial	no-women	False	2026-05-07T03:30:43Z	b29ac49a
