story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt	should_tag	notes
Shivhei-Habesht_0197	Shivhei-Habesht	embedding+lexical	0.96	יחודים	True	high	Besht sitting and performing yichudim (מיחד יחודים).	"שם הבעש""ט ובבואו על המדרגה העליונה ראה את הבעש״ט יושב ומיחד יחודים יחודם ופניו בוערות כלפידים ויחרד מאוד עד שמגודל הפחד כמעט שנפל מהמדריגה עד שגער בו הבעש״ט ואמר לו עמוד אל תירא מה אתה מבקש ומחמת הפחד נשתתק ולא ענה ויהי "		
Khal-Hasidim_0116	Khal-Hasidim	embedding+lexical	0.958	יחודים	True	high	Besht sitting and performing yichudim (מיחד יחודים).	"שם הבעש״ט ובבואו על המדרגה העליונה ראה את הבעש""ט יושב ומיחד יחודים ופניו בוערות כלפידים ויחרד מאוד עד שמגודל הפחד כמעט שנפל מהמדרגה עד שגער בו הבעש״ט ואמר לו עמוד אל תירא מה אתה מבקש ומחמת הפחד נשתתק ולא ענה ויהי בנסעם מ"		
Mifalot-HaZadikim_0026	Mifalot-HaZadikim	embedding	0.965		False	high	The story focuses on the transmission of mystical Torah secrets (sitrei torah) and the recognition of a hidden tzaddik's teachings, but does not depict the active use of divine names or holy name-combinations to achieve a result.	וא נסתר ובאתי לפניו ואמרתי לו רבי למדיני אורחות חיים וכששמע זאת אז מילא פיו בצחוק והיתול ואמר להעומדים עליו השמעתם איש שוטה הזה קורא לי רבי ורוצה להיות בחברתינו הצריכים אנחנו לשוטים כאלו אז ענו כולם בצחוק והיתול ובאמת לא		
Mifalot-HaZadikim_0027	Mifalot-HaZadikim	embedding	0.964		True	high	The story explicitly states that the Baal Shem Tov traveled long distances in a single moment using a 'Name' (holy name) for 'Kfitzat HaAretz' (shortening the way).	 להרוג אותם הוא רוצה והנה בתוך כך נפתחה דלת אחת מן החדרים המוסגרים החרבים ויצא משם אשם אחת עשירה ומקושטת ויגש לפני רום פני הבעש״ט זי״ע ואמר לו רבי אני מבקש מכם לשבות אצלי בשבת קודש ענה הבעש״ט ואמר שתי פליאות לי אחת האיך 		
Khal-Hasidim_0017	Khal-Hasidim	embedding	0.963		False	high	The story involves the Besht revealing a secret about reincarnation (gilgul) to a scholar, but there is no mention of using holy names or name-combinations to achieve this insight.	"ספרו לו גנות ורעות האיש אשר שואל עליו כי היה רשע שאין דומה לו ר""ל : וישא הת""ח ההוא את רגליו וישב לביתו בפחי נפש בלי שום תשוע' כי אם ברפיון כח מרוב הדרך והיגונות אשר מצאתהו עדי בואו לביתו העיר הגדולה אשר שם היה הבעש""ט זלל"		
Mifalot-HaZadikim_0006	Mifalot-HaZadikim	embedding	0.962		False		[error] Unterminated string starting at: line 1 column 55 (char 54)	 ועתה טוב לי מאז כי הוא הכה אותי תמיד ועתה כשהוא מת ואמי ג״כ מתה וביתו נשרף והונו ורכושו נאבד טוב לי מאוד כי יכול אני לילך בשרירות לבי ואין מוחה בידי ונתחברתי אל העניים המסבבים וסבותי גם אני עליהם לשקוד על פתחי נדיבים לב		
Khal-Hasidim_0086	Khal-Hasidim	embedding	0.962		False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	"Khal-Hasidim_0086 תיוגים מעשה כשבא הבעש״ט לק""ק מעזיבוז לא היה חשוב בעיני החסידים היינו הרה""ק ר' זאב קיצעס והרה""ק ר' דוד פורקעס מחמת השם שקראו אותו בעש״ט כי שם זה אינו נאה לצדיק והיה להם תלמיד הגון וחלה והוא והיא היה איש "		
Khal-Hasidim_0202	Khal-Hasidim	embedding	0.962		False	high	The miracle is effected through an oath (shevuah) and the decree of a tzadik, not through the manipulation of divine names or yichudim.	 הקדוש הסבא קדישא כי יתפלל בעדו להשם ית' שיושיעהו בפרי בטן והצדיק הנזכר היה מדחה אותו בלך ושוב בכל יום פעם אמר לו כ כי יעשה סעודת מרעים להחסידים והמה יברכו אותו אולי יעלה בידם וכן עשה ולא הועילו לו מאומה ובכל פעם בואו לר		
Shivhei-Habesht_0193	Shivhei-Habesht	embedding	0.962		False	high	The story depicts the Besht's clairvoyance and the assignment of penance, but does not mention or involve the use of holy names or name-combinations.	"Shivhei-Habesht_0193 תיוגים* פ""א הי' הבעש״ט באיזה קהילה והי׳ אכסניאותו על העלי' : פעם א׳ ראה איש א׳ עובר על הרחוב מיד צוה להמשרת שלו רוץ מהר וקרא לי את האיש הזה וירץ הנער ויקרא לו ומתחילה נתפעם לבו ולא רצה לילך ועכ״ז לא "		
Shivhei-Habesht_0020	Shivhei-Habesht	embedding	0.962		True	high	The story explicitly describes the Besht using 'yichudim' (mystical unifications of divine names) to summon and rectify souls, even providing written formulas to Rabbi Gershon.	"ושה לו תיקון ומתפלל בעדו ומעלהו והחשוב חשוב קודם והם רבים כ״כ שאם רציתי להעלות כולם הייתי צריך לעמוד ש״ע שלש שנים אך כשאני שומע הכרוז שמכריז תקודש מקודש וא""א עוד להעלות הנשמות אני פוסע מן הש""ע ואמר אליו רבי גרשון בדרך שח"		
Adat-Zadikim_0023	Adat-Zadikim	embedding	0.961		False	high	The story depicts a supernatural revelation (Elijah the Prophet) based on the protagonist's humility and hidden piety, but does not involve the use of divine names, holy name-combinations, or yichudim.	"ו ויביט עליו ויכירהו ויצוה תיכף להתירו ויקחהו בידו בידי במהרה לחררו ויפול על צוארו ויבך מאוד וכהתימו לבכות נשא עיניו והנה הר""ח מצחק ויאמר לו רבינו שלשה דברים אשאלך מאין באת לבית האופה ומה חטאך אשר הגידו עליך ומה אתה מצחק"		
Khal-Hasidim_0120	Khal-Hasidim	embedding	0.961		False	high	The story depicts the Baal Shem Tov neutralizing a spiritual threat through psychological manipulation and conversation with a priest, without any mention of using holy names or divine combinations.	"Khal-Hasidim_0120 תיוגים פ""א בע""כ קודם כל נדרי נתאספו כל הקהל לבה""מד ועמד הבעש״ט ולא התחיל להתפלל והי' ניכר ממנו שהוא במבוכה רבה ונתעכבו עד בוש וגעו כל העם בבכיה כי הבינו הכל שלא דבר רק הוא אח״ז הביט הרב מהחלון איך שכומר"		
Shivhei-Habesht_0207	Shivhei-Habesht	embedding	0.961		False		[error] Unterminated string starting at: line 4 column 16 (char 61)	"וצוה שיעמדו סביב מטתו ואמר להם ד״ת על עמוד שעולין מג״ע תחתון לג״ע עליון וכן בכל עולם ועול' האיך הוא בעש""ן ובביאור על סדר עבודה וצוה להם לאמר ויהי נועם ושכב וישב כמה פעמים וכיוון בכוונות עד שלא שמעו חיתוך אותיות וציווה לכ"		
Shivhei-Habesht_0014	Shivhei-Habesht	embedding	0.96		False	medium	Embedding-only neighbor; no explicit name/yichud use depicted.	ך לעירינו א׳ פרסה ולא האמין ולדבריו כי האיך יוכל להיות כך כי הלא לא נעלם מבנו רב הגעגועים שלהם וכמים הפנים וכ׳ בוודאי אין כסף נחשב למאומה ויתן בעד פור כור מה שיבקשו בכדי שיבא על שבת לביתו עכ״ז לרווחא דמילתא שלח ערל א׳ לכ		
Khal-Hasidim_0031	Khal-Hasidim	embedding	0.96		True	high	The story explicitly mentions the use of 'Yichudim' (mystical unifications of divine names) and a written formula provided by the Besht to interact with the souls of the dead.	"ל בעדו ומעלהו והחשוב חשוב קודם והם רבים ג""כ שאם רצותי להעלות כולם הייתי צריך לעמוד ש״ע שלש שנים אך כשאני שומע הכרוז שמכריז מקודש מקודש וא""א עוד להעלות הנשמות אני פוסע מן הש""ע. ואמר אליו רבי גרשון בדרך שחוק למה אין באים א"		
Shivhei-Habesht_0001	Shivhei-Habesht	embedding	0.96		False		[error] Expecting value: line 4 column 15 (char 59)	ח ובכל מקום אשר שלחו המלך ללחום מלחמתו הי' מצליח מאד. והנה בתוך כך נפל לו בלבו מה יהיה בסופו אולי עתה העת לברוח אל מקומו וגילו לו מן השמים שעדיין צריך אתה להיות שבחי הבעש״ט למלך כי מצא חן בעיניו ויתן לו לאשה את בת המשנה 		
