tag	story_url	story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt
spaces:heaven	https://www.hasidic-stories.org/Story/Mifalot-HaZadikim/Mifalot-HaZadikim_0026	Mifalot-HaZadikim_0026	Mifalot-HaZadikim	embedding	0.968		False	high	Heaven is referenced only via conventional death euphemisms ('נתבקש בישיבה של מעלה', 'לעלות למרום') meaning the rabbi died — no character actually ascends to or acts within a heavenly setting.	וא נסתר ובאתי לפניו ואמרתי לו רבי למדיני אורחות חיים וכששמע זאת אז מילא פיו בצחוק והיתול ואמר להעומדים עליו השמעתם איש שוטה הזה קורא לי רבי ורוצה להיות בחברתינו הצריכים אנחנו לשוטים כאלו אז ענו כולם בצחוק והיתול ובאמת לא
spaces:heaven	https://www.hasidic-stories.org/Story/Mifalot-HaZadikim/Mifalot-HaZadikim_0027	Mifalot-HaZadikim_0027	Mifalot-HaZadikim	embedding	0.966		False	medium	Heaven/olam haba is referenced in dialogue (losing/regaining Olam Haba, Shabbat as me'ein olam haba) but no scene is actually set in heaven.	 להרוג אותם הוא רוצה והנה בתוך כך נפתחה דלת אחת מן החדרים המוסגרים החרבים ויצא משם אשם אחת עשירה ומקושטת ויגש לפני רום פני הבעש״ט זי״ע ואמר לו רבי אני מבקש מכם לשבות אצלי בשבת קודש ענה הבעש״ט ואמר שתי פליאות לי אחת האיך 
spaces:heaven	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0004	Khal-Hasidim_0004	Khal-Hasidim	embedding	0.965		False	high	The story is set entirely in earthly locations (village, forest, city); the 'great light' seen by characters is a mystical manifestation on earth, and the brief mention of the writings having been in the hands of Abraham and Joshua is a passing remark, not a depiction of heaven as an action setting.	"י לפלא בעיניו ויהי בבוקר וילך לבית התבודדות להתפלל שם כדרכו ובבואו לביתו בא שמח וטוב לב בנשיאת ראש והלך בביתו אנה ואנה לומר אסדר לסעודתא ועשה קדושא רבא כדרכו בדביקות נפלא ובתוך הסעודה ביקש את האורח שיאמר ד""ת. ולא היה יוד"
spaces:heaven	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0193	Shivhei-Habesht_0193	Shivhei-Habesht	embedding	0.965		False	high	The story takes place entirely on earth (a community, an inn, a street, a synagogue); heaven is not a setting and no character ascends — only an implicit moral consequence ('לא הוציא שנתו') hints at divine judgment without depicting any heavenly scene.	"Shivhei-Habesht_0193 תיוגים* פ""א הי' הבעש״ט באיזה קהילה והי׳ אכסניאותו על העלי' : פעם א׳ ראה איש א׳ עובר על הרחוב מיד צוה להמשרת שלו רוץ מהר וקרא לי את האיש הזה וירץ הנער ויקרא לו ומתחילה נתפעם לבו ולא רצה לילך ועכ״ז לא "
spaces:heaven	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0169	Khal-Hasidim_0169	Khal-Hasidim	embedding	0.964		False	high	The story takes place entirely on earth (a Polish town, prayer services, interpersonal conflict); heaven is not depicted as a setting and no character ascends there.	"ם כבנו שתקו ממנו ולא אמרו לו דבר : ויהי כי נתיחמה לבב האיש הנ""ל ויכנוס להר""ר ר׳ ליב ויאמר לו לי אבי השמעת כי ברוך ואפרים מתכנים עצמם בשם הגדול רבי ומפרסמים שמם בעולם ולא ענהו הרב דבר אולם לעת תפילת ערבית קרא הרב לאיש אחר"
spaces:heaven	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0017	Khal-Hasidim_0017	Khal-Hasidim	embedding	0.964		False	high	The story is set entirely on earth (Mezhybizh, Kazimir); heaven is never a setting — the phrase 'עזרו מקודש' is a passing biblical idiom, and the reincarnation doctrine is invoked as explanation, not as a scene in the upper worlds.	"ספרו לו גנות ורעות האיש אשר שואל עליו כי היה רשע שאין דומה לו ר""ל : וישא הת""ח ההוא את רגליו וישב לביתו בפחי נפש בלי שום תשוע' כי אם ברפיון כח מרוב הדרך והיגונות אשר מצאתהו עדי בואו לביתו העיר הגדולה אשר שם היה הבעש""ט זלל"
spaces:heaven	https://www.hasidic-stories.org/Story/Sipurei-Zadikim/Sipurei-Zadikim_0006	Sipurei-Zadikim_0006	Sipurei-Zadikim	embedding	0.963		False	high	The story is set entirely on earth (a Polish town, Rosh Hashanah gatherings, prayer scenes) with no character ascending to or action taking place in heaven; the only heavenly reference is a quoted phrase from the Zohar used as a rhetorical flourish, not a setting.	". אבל מחמת כי הוא נתגדל אצל רבם כבנו שתקו ממנו ולא אמר לו דבר : ויהי כי נתיחמה לבב האיש הנ""ל ויכנוס להר״ר ר׳ ליב ויאמר לו אבי השמעת כי ברוך ו אפרים מתכנים עצמם בשם הגדול רבי ומפרסמים ומפרסים שמם בעולם ולא ענהו הרב דבר. א"
spaces:heaven	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0005B	Shivhei-Habesht_0005B	Shivhei-Habesht	embedding	0.963		False	high	Heaven is mentioned only incidentally as the source of a warning to the Besht ('הזהירו אותך מן השמי'') and a nocturnal notification, but no action takes place in heaven and no character ascends there; the story is set entirely on earth.	"כא""וא כפי מעלתו ו הבעש״ט נכנס באחרונה וכשראתה אותו ואמרה ב""ה ר׳ ישראל כ' עדיין רך בשנים אמרה לו אתה סבור שאני מפחד ממך לא כי אני ידעתי שהזהירו אותך מן השמי' שלא לעסוק בשמות הקדושים עד שישתלמו לך ששה ושלשים שנה והוא הי׳ נ"
spaces:heaven	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0185	Khal-Hasidim_0185	Khal-Hasidim	embedding	0.963		False	high	The story takes place entirely on earth (Mezeritch, a church building, a courtyard); the strong wind that carries the boy is a miraculous earthly event, not a depiction of heaven or upper worlds as a setting.	 עד כי לא הי' יכול לסבול ויבך מאוד במר נפשו על אשר קרה לו כאלה וירצה לצאת לחוץ ולברוח אבל הדלת הי' סגור וינסה בכל כח לשבור את הדלת ולא יכול ונגמר בדעתו להשליך את עצמו מתוך החלון ואף כי יתרסקו אבריו כי היה גבוה החלון מהאר
spaces:heaven	https://www.hasidic-stories.org/Story/Peer-MiKdoshim/Peer-MiKdoshim_0007	Peer-MiKdoshim_0007	PeerMikdoshim	embedding	0.963		False	high	The story takes place entirely on earth — a road encounter, a carriage ride, and a visit to the Rebbe's house in Lublin — with no depiction of heaven or upper worlds as a setting.	ום יום יותר ויותר וכנחל נובע פרצו דברו החסיד בחכמה ועד כי התנשא זה לעומת זה בדבריו' ענהו הגביר אם כן איפוא בא ואראך כי שקר נחלו כל החסידים ומאומה לא ידע הרבי ולאות נאמן התבונן מהר כי אתה הוא ששמעת בעצמך נאצות וגידופים על
