tag	detectability	n_tagged	n_editions_tagged	n_candidates	n_confirmed_missed	n_fp_candidates	control_n	control_yes	recall_flag	your_decision	notes
ethics-and-emotions:prohibitions	semantic	135	9	60	0	0	10	1	0.10		
ethics-and-emotions:fear	semantic	130	9	60	18	0	10	2	0.20		
ethics-and-emotions:punishment	semantic	114	9	60	10	0	10	0	0.00		
ethics-and-emotions:anger	semantic	98	9	60	13	0	10	0	0.00		
ethics-and-emotions:virtues	semantic	97	8	60	22	0	10	6	0.60		
ethics-and-emotions:repentance	semantic	87	8	60	1	0	10	0	0.00		
ethics-and-emotions:sadness	semantic	74	9	60	0	0	10	0	0.00		
ethics-and-emotions:shame	semantic	65	8	60	9	0	10	1	0.10		
ethics-and-emotions:lying	semantic	63	8	51	19	0	10	3	0.30		
ethics-and-emotions:joy	semantic	60	9	60	3	0	10	0	0.00		
ethics-and-emotions:charity	semantic	60	8	60	1	0	10	1	0.10		
ethics-and-emotions:humility	semantic	54	9	60	10	0	10	1	0.10		
ethics-and-emotions:pride	semantic	48	8	60	4	0	10	1	0.10		
ethics-and-emotions:adultery	semantic	41	9	60	6	0	10	0	0.00		
ethics-and-emotions:lust	semantic	38	8	60	3	0	10	1	0.10		
ethics-and-emotions:awe	semantic	16	4	60	36	0	10	1	0.10		
ethics-and-emotions:resisting_temptation	semantic	8	4	14	3	0	10	0	0.00		
